pac56,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.HealthBot,0.1.0
pac57,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.HealthcareApis,1.3.1
pac58,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.HPCCache,0.1.1
pac59,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.ImageBuilder,0.2.0
pac60,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.ImportExport,0.1.0
pac61,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.IotCentral,0.9.0
pac62,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.IotHub,2.7.3
pac63,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.KeyVault,3.5.0
pac64,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.KubernetesConfiguration,0.4.0
pac65,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Kusto,2.0.0
pac66,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.LogicApp,1.5.0
pac67,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.MachineLearning,1.1.3
pac68,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Maintenance,1.1.1
pac69,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.ManagedServiceIdentity,0.7.3
pac70,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.ManagedServices,2.0.0
pac71,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.ManagementPartner,0.7.2
pac72,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Maps,0.8.0
pac73,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.MariaDb,0.2.0
pac74,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Marketplace,0.2.0
pac75,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.MarketplaceOrdering,1.0.2
pac76,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Media,1.1.1
pac77,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Migrate,1.1.1
pac78,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.MixedReality,0.1.4
pac79,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Monitor,2.7.0
pac80,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.MonitoringSolutions,0.1.0
pac81,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.MySql,0.7.0
pac82,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.NetAppFiles,0.7.0
pac83,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Network,4.11.0
pac84,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.NotificationHubs,1.1.1
pac85,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.OperationalInsights,2.3.0
pac86,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Peering,0.3.0
pac87,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.PolicyInsights,1.4.1
pac88,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Portal,0.1.0
pac89,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.PostgreSql,0.7.0
pac90,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.PowerBIEmbedded,1.1.2
pac91,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.PrivateDns,1.0.3
pac92,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.ProviderHub,0.2.0
pac93,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Purview,0.1.0
pac94,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.RecoveryServices,4.6.0
pac95,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.RedisCache,1.5.0
pac96,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.RedisEnterpriseCache,1.0.0
pac97,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Relay,1.0.3
pac98,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Reservations,0.9.0
pac99,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.ResourceGraph,0.11.0
pac100,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.ResourceMover,1.0.0
pac101,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Resources,4.3.1
pac102,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Search,0.8.0
pac103,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Security,1.0.0
pac104,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.SecurityInsights,1.1.0
pac105,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.ServiceBus,1.5.0
pac106,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.ServiceFabric,3.0.1
pac107,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.SignalR,1.3.0
pac108,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.SpringCloud,0.2.0
pac109,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Sql,3.5.0
pac110,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.SqlVirtualMachine,1.1.0
pac111,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.StackEdge,0.1.0
pac112,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.StackHCI,0.9.0
pac113,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Storage,3.11.0
pac114,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.StorageSync,1.6.0
pac115,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.StreamAnalytics,2.0.0
pac116,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Subscription,0.8.0
pac117,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Support,1.0.0
pac118,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Synapse,0.15.0
pac119,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.TimeSeriesInsights,0.2.0
pac120,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.TrafficManager,1.0.4
pac121,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.VMware,0.2.0
pac122,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.Websites,2.8.2
pac123,[ps=true;customSource=https://www.poshtestgallery.com/api/v2/]Az.WindowsIotServices,0.1.0

