"Directory","Assembly Name","Assembly Version","Referencing Assembly","Severity","ProblemId","Description","Remediation"
"Az.Resources","Microsoft.Win32.Registry","4.1.1.0","System.Management.Automation","0","3000","Missing assembly Microsoft.Win32.Registry referenced from System.Management.Automation","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Microsoft.PowerShell.CoreCLR.Eventing","6.1.0.0","System.Management.Automation","0","3000","Missing assembly Microsoft.PowerShell.CoreCLR.Eventing referenced from System.Management.Automation","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","System.Runtime.CompilerServices.Unsafe","4.0.4.0","Microsoft.Extensions.Primitives","0","3000","Missing assembly System.Runtime.CompilerServices.Unsafe referenced from Microsoft.Extensions.Primitives","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","xunit.core","2.4.0.4049","Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","0","3000","Missing assembly xunit.core referenced from Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Microsoft.VisualStudio.TestPlatform.ObjectModel","15.0.0.0","Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","0","3000","Missing assembly Microsoft.VisualStudio.TestPlatform.ObjectModel referenced from Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Moq","4.7.145.0","Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","0","3000","Missing assembly Moq referenced from Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","xunit.abstractions","2.0.0.0","Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","0","3000","Missing assembly xunit.abstractions referenced from Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Microsoft.Rest.ClientRuntime.Azure.TestFramework","1.0.0.0","Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","0","3000","Missing assembly Microsoft.Rest.ClientRuntime.Azure.TestFramework referenced from Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","Microsoft.Azure.Test.HttpRecorder","1.0.0.0","Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","0","3000","Missing assembly Microsoft.Azure.Test.HttpRecorder referenced from Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","xunit.assert","2.4.0.4049","Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","0","3000","Missing assembly xunit.assert referenced from Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","Ensure that the assembly is included in the Wix file or directory"
"Az.Resources","FluentAssertions","5.9.0.0","Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","0","3000","Missing assembly FluentAssertions referenced from Microsoft.Azure.PowerShell.Cmdlets.Resources.Test","Ensure that the assembly is included in the Wix file or directory"
