module,sub_module,v_autorest,GA,Status,custom,export
Advisor,Advisor.Autorest,v3,True,,6,7
Aks,Aks.Autorest,v3,True,,4,23
AppConfiguration,AppConfiguration.Autorest,v3,True,,5,11
ApplicationInsights,ApplicationInsights.Autorest,v3,True,,12,39
ArcResourceBridge,ArcResourceBridge.Autorest,v3,True,,2,10
Attestation,Attestation.Autorest,v3,True,,4,7
Automanage,Automanage.Autorest,v3,True,,2,19
Cdn,Cdn.Autorest,v3,True,,57,159
CloudService,CloudService.Autorest,v3,True,,11,32
Compute,Compute.Autorest,v3,True,,7,15
ConfidentialLedger,ConfidentialLedger.Autorest,v3,True,,3,9
ContainerInstance,ContainerInstance.Autorest,v3,True,,16,32
ContainerRegistry,ContainerRegistry.Autorest,v3,True,,14,42
Databricks,Databricks.Autorest,v3,True,,6,16
DataProtection,DataProtection.Autorest,v3,True,,2,54
Dns,Dns.Autorest,v3,True,,2,5
DnsResolver,DnsResolver.Autorest,v3,True,,4,44
Functions,Functions.Autorest,v3,True,,20,17
HealthcareApis,HealthcareApis.Autorest,v3,True,,8,27
Kusto,Kusto.Autorest,v3,True,,7,71
LoadTesting,LoadTesting.Autorest,v3,True,,8,6
MachineLearningServices,MachineLearningServices.Autorest,v3,True,,41,140
ManagedServiceIdentity,ManagedServiceIdentity.Autorest,v3,True,,3,12
ManagedServices,ManagedServices.Autorest,v3,True,,4,12
MarketplaceOrdering,MarketplaceOrdering.Autorest,v3,True,,4,6
Migrate,Migrate.Autorest,v3,True,,31,43
Monitor,ActivityLogAlert.Autorest,v3,True,,4,9
Monitor,Autoscale.Autorest,v3,True,,3,12
Monitor,DiagnosticSetting.Autorest,v3,True,,2,13
Monitor,MonitorWorkspace.Autorest,v3,True,,2,6
Monitor,ScheduledQueryRule.Autorest,v3,True,,2,8
MySql,MySql.Autorest,v3,True,,24,46
NetworkCloud,NetworkCloud.Autorest,v3,True,,2,105
Nginx,Nginx.Autorest,v3,True,,2,17
PostgreSql,PostgreSql.Autorest,v3,True,,23,41
RedisEnterpriseCache,RedisEnterpriseCache.Autorest,v3,True,,13,22
Relay,Relay.Autorest,v3,True,,9,24
ResourceGraph,ResourceGraph.Autorest,v3,True,,4,6
ResourceMover,ResourceMover.Autorest,v3,True,,2,16
Resources,Authorization.Autorest,v3,True,,2,19
SecurityInsights,SecurityInsights.Autorest,v3,True,,10,64
SignalR,SignalR.Autorest,v3,True,,2,23
SqlVirtualMachine,SqlVirtualMachine.Autorest,v3,True,,7,19
StackHCI,StackHCI.Autorest,v3,True,,4,52
StorageMover,StorageMover.Autorest,v3,True,,13,31
StreamAnalytics,StreamAnalytics.Autorest,v3,True,,14,33
Synapse,Synapse.Autorest,v3,True,,7,31
Websites,Websites.Autorest,v3,True,,3,52
Workloads,Monitors.Autorest,v3,True,,8,21
Workloads,SapVirtualInstance.Autorest,v3,True,,4,23
ADDomainServices,ADDomainServices.Autorest,v3,False,,3,8
AlertsManagement,PrometheusRuleGroups.Autorest,v3,False,,2,8
BareMetal,BareMetal.Autorest,v3,False,,2,4
BillingBenefits,BillingBenefits.Autorest,v3,False,,2,13
BotService,BotService.Autorest,v3,False,,9,11
ChangeAnalysis,ChangeAnalysis.Autorest,v3,False,,2,3
Communication,Communication.Autorest,v3,False,,2,10
Confluent,Confluent.Autorest,v3,False,,5,7
ConnectedKubernetes,ConnectedKubernetes.Autorest,v3,False,,8,8
ConnectedNetwork,ConnectedNetwork.Autorest,v3,False,,8,33
CostManagement,CostManagement.Autorest,v3,False,,7,13
CustomProviders,CustomProviders.Autorest,v3,False,,2,9
Dashboard,Dashboard.Autorest,v3,False,,4,7
DataBox,DataBox.Autorest,v3,False,,3,18
Datadog,Datadog.Autorest,v3,False,,2,20
DataMigration,DataMigration.Autorest,v3,False,,2,30
DedicatedHsm,DedicatedHsm.Autorest,v3,False,,2,7
DeviceUpdate,DeviceUpdate.Autorest,v3,False,,4,12
DigitalTwins,DigitalTwins.Autorest,v3,False,,4,17
DiskPool,DiskPool.Autorest,v3,False,,4,18
DynatraceObservability,DynatraceObservability.Autorest,v3,False,,3,19
EdgeOrder,EdgeOrder.Autorest,v3,False,,2,22
Elastic,Elastic.Autorest,v3,False,,3,34
FluidRelay,FluidRelay.Autorest,v3,False,,2,10
GraphServices,GraphServices.Autorest,v3,False,,2,6
GuestConfiguration,GuestConfiguration.Autorest,v3,False,,4,6
HanaOnAzure,HanaOnAzure.Autorest,v3,False,,3,9
HealthBot,HealthBot.Autorest,v3,False,,2,6
ImageBuilder,ImageBuilder.Autorest,v3,False,,2,18
ImportExport,ImportExport.Autorest,v3,False,,4,9
KubernetesConfiguration,KubernetesConfiguration.Autorest,v3,False,,14,14
LabServices,LabServices.Autorest,v3,False,,68,37
Maps,Maps.Autorest,v3,False,,2,13
MariaDb,MariaDb.Autorest,v3,False,,11,21
MixedReality,MixedReality.Autorest,v3,False,,2,21
MobileNetwork,MobileNetwork.Autorest,v3,False,,18,59
MonitoringSolutions,MonitoringSolutions.Autorest,v3,False,,3,6
NetworkAnalytics,NetworkAnalytics.Autorest,v3,False,,2,8
NetworkFunction,NetworkFunction.Autorest,v3,False,,5,12
Orbital,Orbital.Autorest,v3,False,,5,18
Peering,Peering.Autorest,v3,False,,2,41
Portal,Portal.Autorest,v3,False,,4,7
ProviderHub,ProviderHub.Autorest,v3,False,,8,22
Purview,Purview.Autorest,v3,False,,6,12
Purview,Purviewdata.Autorest,v3,False,,19,107
Quantum,Quantum.Autorest,v3,False,,3,9
Qumulo,Qumulo.Autorest,v3,False,,3,6
Reservations,Reservations.Autorest,v3,False,,5,20
SelfHelp,SelfHelp.Autorest,v3,False,,2,20
ServiceLinker,ServiceLinker.Autorest,v3,False,,31,28
SpringCloud,SpringCloud.Autorest,v3,False,,14,72
StorageCache,StorageCache.Autorest,v3,False,,8,42
Subscription,Subscription.Autorest,v3,False,,5,11
TimeSeriesInsights,TimeSeriesInsights.Autorest,v3,False,,4,18
VoiceServices,VoiceServices.Autorest,v3,False,,3,12
WindowsIotServices,WindowsIotServices.Autorest,v3,False,,2,6
App,App.Autorest,v4,True,,7,101
AppConfiguration,AppConfigurationData.Autorest,v4,True,,3,11
ConnectedMachine,ConnectedMachine.Autorest,v4,True,,10,37
DesktopVirtualization,DesktopVirtualization.Autorest,v4,True,,12,59
ElasticSan,ElasticSan.Autorest,v4,True,,7,21
EventGrid,EventGrid.Autorest,v4,True,,6,185
EventHub,EventHub.Autorest,v4,True,,23,50
HealthDataAIServices,HealthDataAIServices.Autorest,v4,True,,2,6
KeyVault,KeyVault.Autorest,v4,True,,6,7
Monitor,ActionGroup.Autorest,v4,True,,4,19
Monitor,DataCollectionRule.Autorest,v4,True,,4,30
Monitor,MetricData.Autorest,v4,True,,2,3
Monitor,PipelineGroup.Autorest,v4,True,,2,6
Oracle,Oracle.Autorest,v4,True,,2,33
Resources,DataBoundary.Autorest,v4,True,,2,5
Resources,MSGraph.Autorest,v4,True,,33,42
Resources,Policy.Autorest,v4,True,,24,18
Security,DefenderForStorage.Autorest,v4,True,,2,4
Security,Security.Autorest,v4,True,,2,51
ServiceBus,ServiceBus.Autorest,v4,True,,22,49
StackHCIVM,StackHCIVM.Autorest,v4,True,,33,33
Storage,Storage.Autorest,v4,True,,3,5
Support,Support.Autorest,v4,True,,7,29
AksArc,AksArc.Autorest,v4,False,,18,20
