module,sub_module,v_autorest,GA,Status
Advisor,Advisor.Autorest,v3,True,
Aks,Aks.Autorest,v3,True,
AppConfiguration,AppConfiguration.Autorest,v3,True,
ApplicationInsights,ApplicationInsights.Autorest,v3,True,
ArcResourceBridge,ArcResourceBridge.Autorest,v3,True,
Attestation,Attestation.Autorest,v3,True,
Automanage,Automanage.Autorest,v3,True,
Cdn,Cdn.Autorest,v3,True,
CloudService,CloudService.Autorest,v3,True,
Compute,Compute.Autorest,v3,True,
ConfidentialLedger,ConfidentialLedger.Autorest,v3,True,
ContainerInstance,ContainerInstance.Autorest,v3,True,
ContainerRegistry,ContainerRegistry.Autorest,v3,True,
Databricks,Databricks.Autorest,v3,True,
DataProtection,DataProtection.Autorest,v3,True,
Dns,Dns.Autorest,v3,True,
DnsResolver,DnsResolver.Autorest,v3,True,
Functions,Functions.Autorest,v3,True,
HealthcareApis,HealthcareApis.Autorest,v3,True,
Kusto,Kusto.Autorest,v3,True,
LoadTesting,LoadTesting.Autorest,v3,True,
MachineLearningServices,MachineLearningServices.Autorest,v3,True,
ManagedServiceIdentity,ManagedServiceIdentity.Autorest,v3,True,
ManagedServices,ManagedServices.Autorest,v3,True,
MarketplaceOrdering,MarketplaceOrdering.Autorest,v3,True,
Migrate,Migrate.Autorest,v3,True,
Monitor,ActivityLogAlert.Autorest,v3,True,
Monitor,Autoscale.Autorest,v3,True,
Monitor,DiagnosticSetting.Autorest,v3,True,
Monitor,MonitorWorkspace.Autorest,v3,True,
Monitor,ScheduledQueryRule.Autorest,v3,True,
MySql,MySql.Autorest,v3,True,
NetworkCloud,NetworkCloud.Autorest,v3,True,
Nginx,Nginx.Autorest,v3,True,
PostgreSql,PostgreSql.Autorest,v3,True,
RedisEnterpriseCache,RedisEnterpriseCache.Autorest,v3,True,
Relay,Relay.Autorest,v3,True,
ResourceGraph,ResourceGraph.Autorest,v3,True,
ResourceMover,ResourceMover.Autorest,v3,True,
Resources,Authorization.Autorest,v3,True,
SecurityInsights,SecurityInsights.Autorest,v3,True,
SignalR,SignalR.Autorest,v3,True,
SqlVirtualMachine,SqlVirtualMachine.Autorest,v3,True,
StackHCI,StackHCI.Autorest,v3,True,
StorageMover,StorageMover.Autorest,v3,True,
StreamAnalytics,StreamAnalytics.Autorest,v3,True,
Synapse,Synapse.Autorest,v3,True,
Websites,Websites.Autorest,v3,True,
Workloads,Monitors.Autorest,v3,True,
Workloads,SapVirtualInstance.Autorest,v3,True,
ADDomainServices,ADDomainServices.Autorest,v3,False,
AlertsManagement,PrometheusRuleGroups.Autorest,v3,False,
BareMetal,BareMetal.Autorest,v3,False,
BillingBenefits,BillingBenefits.Autorest,v3,False,
BotService,BotService.Autorest,v3,False,
ChangeAnalysis,ChangeAnalysis.Autorest,v3,False,
Communication,Communication.Autorest,v3,False,
Confluent,Confluent.Autorest,v3,False,
ConnectedKubernetes,ConnectedKubernetes.Autorest,v3,False,
ConnectedNetwork,ConnectedNetwork.Autorest,v3,False,
CostManagement,CostManagement.Autorest,v3,False,
CustomProviders,CustomProviders.Autorest,v3,False,
Dashboard,Dashboard.Autorest,v3,False,
DataBox,DataBox.Autorest,v3,False,
Datadog,Datadog.Autorest,v3,False,
DataMigration,DataMigration.Autorest,v3,False,
DedicatedHsm,DedicatedHsm.Autorest,v3,False,
DeviceUpdate,DeviceUpdate.Autorest,v3,False,
DigitalTwins,DigitalTwins.Autorest,v3,False,
DiskPool,DiskPool.Autorest,v3,False,
DynatraceObservability,DynatraceObservability.Autorest,v3,False,
EdgeOrder,EdgeOrder.Autorest,v3,False,
Elastic,Elastic.Autorest,v3,False,
FluidRelay,FluidRelay.Autorest,v3,False,
GraphServices,GraphServices.Autorest,v3,False,
GuestConfiguration,GuestConfiguration.Autorest,v3,False,
HanaOnAzure,HanaOnAzure.Autorest,v3,False,
HealthBot,HealthBot.Autorest,v3,False,
ImageBuilder,ImageBuilder.Autorest,v3,False,
ImportExport,ImportExport.Autorest,v3,False,
KubernetesConfiguration,KubernetesConfiguration.Autorest,v3,False,
LabServices,LabServices.Autorest,v3,False,
Maps,Maps.Autorest,v3,False,
MariaDb,MariaDb.Autorest,v3,False,
MixedReality,MixedReality.Autorest,v3,False,
MobileNetwork,MobileNetwork.Autorest,v3,False,
MonitoringSolutions,MonitoringSolutions.Autorest,v3,False,
NetworkAnalytics,NetworkAnalytics.Autorest,v3,False,
NetworkFunction,NetworkFunction.Autorest,v3,False,
Orbital,Orbital.Autorest,v3,False,
Peering,Peering.Autorest,v3,False,
Portal,Portal.Autorest,v3,False,
ProviderHub,ProviderHub.Autorest,v3,False,
Purview,Purview.Autorest,v3,False,
Purview,Purviewdata.Autorest,v3,False,
Quantum,Quantum.Autorest,v3,False,
Qumulo,Qumulo.Autorest,v3,False,
Reservations,Reservations.Autorest,v3,False,
SelfHelp,SelfHelp.Autorest,v3,False,
ServiceLinker,ServiceLinker.Autorest,v3,False,
SpringCloud,SpringCloud.Autorest,v3,False,
StorageCache,StorageCache.Autorest,v3,False,
Subscription,Subscription.Autorest,v3,False,
TimeSeriesInsights,TimeSeriesInsights.Autorest,v3,False,
VoiceServices,VoiceServices.Autorest,v3,False,
WindowsIotServices,WindowsIotServices.Autorest,v3,False,
App,App.Autorest,v4,True,
AppConfiguration,AppConfigurationData.Autorest,v4,True,
ConnectedMachine,ConnectedMachine.Autorest,v4,True,
DesktopVirtualization,DesktopVirtualization.Autorest,v4,True,
ElasticSan,ElasticSan.Autorest,v4,True,
EventGrid,EventGrid.Autorest,v4,True,
EventHub,EventHub.Autorest,v4,True,
HealthDataAIServices,HealthDataAIServices.Autorest,v4,True,
