"AssemblyName","AssemblyVersion","ReferencingAssembly","ReferencingAssemblyVersion","Directory"
"Hyak.Common","1.0.0.0","Microsoft.Azure.Common","2.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Hyak.Common","1.0.0.0","Microsoft.Azure.PowerShell.Authentication.Abstractions","1.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Hyak.Common","1.0.0.0","Microsoft.Azure.PowerShell.Authentication","1.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Hyak.Common","1.0.0.0","Microsoft.Azure.PowerShell.Cmdlets.Accounts","1.5.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Hyak.Common","1.0.0.0","Microsoft.Azure.PowerShell.Common","1.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.Common","2.0.0.0","Microsoft.Azure.PowerShell.Authentication.Abstractions","1.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.Common","2.0.0.0","Microsoft.Azure.PowerShell.Authentication","1.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.PowerShell.Authentication.Abstractions","1.0.0.0","Microsoft.Azure.PowerShell.Authentication","1.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.PowerShell.Authentication.Abstractions","1.0.0.0","Microsoft.Azure.PowerShell.Authentication.ResourceManager","0.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.PowerShell.Authentication.Abstractions","1.0.0.0","Microsoft.Azure.PowerShell.Clients.Graph.Rbac","1.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.PowerShell.Authentication.Abstractions","1.0.0.0","Microsoft.Azure.PowerShell.Clients.Network","1.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.PowerShell.Authentication.Abstractions","1.0.0.0","Microsoft.Azure.PowerShell.Clients.ResourceManager","1.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.PowerShell.Authentication.Abstractions","1.0.0.0","Microsoft.Azure.PowerShell.Cmdlets.Accounts","1.5.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.PowerShell.Authentication.Abstractions","1.0.0.0","Microsoft.Azure.PowerShell.Common","1.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.PowerShell.Authentication.Abstractions","1.0.0.0","Microsoft.Azure.PowerShell.Storage","1.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.PowerShell.Authentication","1.0.0.0","Microsoft.Azure.PowerShell.Authentication.ResourceManager","0.0.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
"Microsoft.Azure.PowerShell.Authentication","1.0.0.0","Microsoft.Azure.PowerShell.Cmdlets.Accounts","1.5.0.0","E:\Interconnect\azure-powershell-pr\artifacts/Debug\Az.Accounts"
