"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.Migrate","New-AzMigrateLocalDiskMappingObject","New-AzMigrateLocalDiskMappingObject","0","3010","The property 'StorageContainerId' of type 'Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api20240901.AzLocalDiskInput' has been removed.","Add the property 'StorageContainerId' back to type 'Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api20240901.AzLocalDiskInput'."
"Az.Migrate","New-AzMigrateLocalServerReplication","New-AzMigrateLocalServerReplication","0","3010","The property 'StorageContainerId' of type 'Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api20240901.AzLocalDiskInput' has been removed.","Add the property 'StorageContainerId' back to type 'Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api20240901.AzLocalDiskInput'."
"Az.Migrate","New-AzMigrateLocalDiskMappingObject","New-AzMigrateLocalDiskMappingObject","0","2000","The cmdlet 'New-AzMigrateLocalDiskMappingObject' no longer supports the parameter 'TargetStoragePathId' and no alias was found for the original parameter name.","Add the parameter 'TargetStoragePathId' back to the cmdlet 'New-AzMigrateLocalDiskMappingObject', or add an alias to the original parameter name."
"Az.Migrate","New-AzMigrateLocalDiskMappingObject","New-AzMigrateLocalDiskMappingObject","0","1050","The parameter set '__AllParameterSets' for cmdlet 'New-AzMigrateLocalDiskMappingObject' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'New-AzMigrateLocalDiskMappingObject'."
"Az.Migrate","New-AzMigrateLocalServerReplication","New-AzMigrateLocalServerReplication","0","1050","The parameter set '__AllParameterSets' for cmdlet 'New-AzMigrateLocalServerReplication' has been removed.","Add parameter set '__AllParameterSets' back to cmdlet 'New-AzMigrateLocalServerReplication'."
"Az.Migrate","New-AzMigrateLocalServerReplication","New-AzMigrateLocalServerReplication","0","1050","The parameter set 'ByIdDefaultUser' for cmdlet 'New-AzMigrateLocalServerReplication' has been removed.","Add parameter set 'ByIdDefaultUser' back to cmdlet 'New-AzMigrateLocalServerReplication'."
"Az.Migrate","New-AzMigrateLocalServerReplication","New-AzMigrateLocalServerReplication","0","1050","The parameter set 'ByIdPowerUser' for cmdlet 'New-AzMigrateLocalServerReplication' has been removed.","Add parameter set 'ByIdPowerUser' back to cmdlet 'New-AzMigrateLocalServerReplication'."
"Az.Migrate","Get-AzMigrateLocalJob","Get-AzMigrateLocalJob","0","3000","The type of property 'AffectedObjectDetail' of type 'Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.Api20240901.IJobModelCustomProperties' has changed from 'Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.IJobModelCustomPropertiesAffectedObjectDetails' to 'Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.IAffectedObjectDetails'.","Change the type of property 'AffectedObjectDetail' back to 'Microsoft.Azure.PowerShell.Cmdlets.Migrate.Models.IJobModelCustomPropertiesAffectedObjectDetails'."
