"Module","Cmdlet","Example","Line","RuleName","ProblemId","Severity","Description","Extent","Remediation"
"Az.MonitoringSolutions","Get-AzMonitorLogAnalyticsSolution","1","1","Invalid_Parameter_Name","5011","1","Get-AzMonitorLogAnalyticsSolution -Type is not a valid parameter name.","-Type","Check validity of the parameter -Type."
"Az.MonitoringSolutions","Get-AzMonitorLogAnalyticsSolution","1","1","Invalid_Parameter_Name","5011","1","Get-AzMonitorLogAnalyticsSolution -Location is not a valid parameter name.","-Location","Check validity of the parameter -Location."
"Az.MonitoringSolutions","Get-AzMonitorLogAnalyticsSolution","1","1","Invalid_Parameter_Name","5011","1","Get-AzMonitorLogAnalyticsSolution -WorkspaceResourceId is not a valid parameter name.","-WorkspaceResourceId","Check validity of the parameter -WorkspaceResourceId."
"Az.MonitoringSolutions","Get-AzMonitorLogAnalyticsSolution","3","1","Invalid_Parameter_Name","5011","1","New-AzMonitorLogAnalyticsSolution -Name is not a valid parameter name.","-Name","Check validity of the parameter -Name."
"Az.MonitoringSolutions","Get-AzMonitorLogAnalyticsSolution","1","1","Invalid_Parameter_Name","5011","1","Get-AzMonitorLogAnalyticsSolution -Type is not a valid parameter name.","-Type","Check validity of the parameter -Type."
"Az.MonitoringSolutions","Get-AzMonitorLogAnalyticsSolution","1","1","Invalid_Parameter_Name","5011","1","Get-AzMonitorLogAnalyticsSolution -Location is not a valid parameter name.","-Location","Check validity of the parameter -Location."
"Az.MonitoringSolutions","Get-AzMonitorLogAnalyticsSolution","1","1","Invalid_Parameter_Name","5011","1","Get-AzMonitorLogAnalyticsSolution -WorkspaceResourceId is not a valid parameter name.","-WorkspaceResourceId","Check validity of the parameter -WorkspaceResourceId."
"Az.MonitoringSolutions","Get-AzMonitorLogAnalyticsSolution","3","1","Invalid_Parameter_Name","5011","1","New-AzMonitorLogAnalyticsSolution -Name is not a valid parameter name.","-Name","Check validity of the parameter -Name."
