"FileName","CsharpFunction","PowerShellFunction"
"AppsOperations.cs","public async System.Threading.Tasks.Task<Microsoft.Rest.Azure.AzureOperationResponse<AppAvailabilityInfo>> CheckNameAvailabilityWithHttpMessagesAsync(string name, string type = ""IoTApps"", System.Collections.Generic.Dictionary<string, System.Collections.Generic.List<string>> customHeaders = null, System.Threading.CancellationToken cancellationToken = default(System.Threading.CancellationToken))",""
"AppsOperations.cs","public async System.Threading.Tasks.Task<Microsoft.Rest.Azure.AzureOperationResponse<AppAvailabilityInfo>> CheckSubdomainAvailabilityWithHttpMessagesAsync(string name, string type = ""IoTApps"", System.Collections.Generic.Dictionary<string, System.Collections.Generic.List<string>> customHeaders = null, System.Threading.CancellationToken cancellationToken = default(System.Threading.CancellationToken))",""
"App.cs","public App(string location, AppSkuInfo sku, string id = default(string), string name = default(string), string type = default(string), System.Collections.Generic.IDictionary<string, string> tags = default(System.Collections.Generic.IDictionary<string, string>), string applicationId = default(string), string displayName = default(string), string subdomain = default(string), string template = default(string), string state = default(string), SystemAssignedServiceIdentity identity = default(SystemAssignedServiceIdentity))","public App(string location, AppSkuInfo sku, string id = default(string), string name = default(string), string type = default(string), System.Collections.Generic.IDictionary<string, string> tags = default(System.Collections.Generic.IDictionary<string, string>), SystemAssignedServiceIdentity identity = default(SystemAssignedServiceIdentity), string applicationId = default(string), string displayName = default(string), string subdomain = default(string), string template = default(string), string state = default(string))"
"AppPatch.cs","public AppPatch(System.Collections.Generic.IDictionary<string, string> tags = default(System.Collections.Generic.IDictionary<string, string>), AppSkuInfo sku = default(AppSkuInfo), string applicationId = default(string), string displayName = default(string), string subdomain = default(string), string template = default(string), string state = default(string), SystemAssignedServiceIdentity identity = default(SystemAssignedServiceIdentity))","public AppPatch(System.Collections.Generic.IDictionary<string, string> tags = default(System.Collections.Generic.IDictionary<string, string>), AppSkuInfo sku = default(AppSkuInfo), SystemAssignedServiceIdentity identity = default(SystemAssignedServiceIdentity), string applicationId = default(string), string displayName = default(string), string subdomain = default(string), string template = default(string), string state = default(string))"
