Validator,Assembly,Target,Severity,Description,Remediation
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType","0","Type 'Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType' contains invalid table column format. ","Replace unsupported format elements in C:\pd\azure-powershell\src\CLU\StaticAnalysis\..\Microsoft.Azure.Commands.Resources\Microsoft.Azure.Commands.Resources.format.ps1xml table control for Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType","0","Type 'Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType' contains invalid table column format. ","Replace unsupported format elements in C:\pd\azure-powershell\src\CLU\StaticAnalysis\..\Microsoft.Azure.Commands.Resources\Microsoft.Azure.Commands.Resources.format.ps1xml table control for Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType","0","Type 'Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType' contains invalid table column format. ","Replace unsupported format elements in C:\pd\azure-powershell\src\CLU\StaticAnalysis\..\Microsoft.Azure.Commands.Resources\Microsoft.Azure.Commands.Resources.format.ps1xml table control for Microsoft.Azure.Commands.Resources.Models.PSResourceProviderType"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmTag","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.ResourceManager.Cmdlets.Tags.PSTag","Add an output format for type Microsoft.Azure.Commands.ResourceManager.Cmdlets.Tags.PSTag in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmTag","3","The output type Microsoft.Azure.Commands.ResourceManager.Cmdlets.Tags.PSTag for cmdlet Get-AzureRmTag has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmTag"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","New-AzureRmTag","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.ResourceManager.Cmdlets.Tags.PSTag","Add an output format for type Microsoft.Azure.Commands.ResourceManager.Cmdlets.Tags.PSTag in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","New-AzureRmTag","3","The output type Microsoft.Azure.Commands.ResourceManager.Cmdlets.Tags.PSTag for cmdlet New-AzureRmTag has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmTag"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Remove-AzureRmTag","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.ResourceManager.Cmdlets.Tags.PSTag","Add an output format for type Microsoft.Azure.Commands.ResourceManager.Cmdlets.Tags.PSTag in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Remove-AzureRmTag","3","The output type Microsoft.Azure.Commands.ResourceManager.Cmdlets.Tags.PSTag for cmdlet Remove-AzureRmTag has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Remove-AzureRmTag"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmResourceProvider","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.PSResourceProvider","Add an output format for type Microsoft.Azure.Commands.Resources.Models.PSResourceProvider in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmResourceProvider","3","The output type Microsoft.Azure.Commands.Resources.Models.PSResourceProvider for cmdlet Get-AzureRmResourceProvider has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmResourceProvider"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmProviderOperation","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.PSResourceProviderOperation","Add an output format for type Microsoft.Azure.Commands.Resources.Models.PSResourceProviderOperation in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmProviderOperation","3","The output type Microsoft.Azure.Commands.Resources.Models.PSResourceProviderOperation for cmdlet Get-AzureRmProviderOperation has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmProviderOperation"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Register-AzureRmResourceProvider","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.PSResourceProvider","Add an output format for type Microsoft.Azure.Commands.Resources.Models.PSResourceProvider in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Register-AzureRmResourceProvider","3","The output type Microsoft.Azure.Commands.Resources.Models.PSResourceProvider for cmdlet Register-AzureRmResourceProvider has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Register-AzureRmResourceProvider"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Unregister-AzureRmResourceProvider","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.PSResourceProvider","Add an output format for type Microsoft.Azure.Commands.Resources.Models.PSResourceProvider in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Unregister-AzureRmResourceProvider","3","The output type Microsoft.Azure.Commands.Resources.Models.PSResourceProvider for cmdlet Unregister-AzureRmResourceProvider has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Unregister-AzureRmResourceProvider"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmResourceGroupDeployment","3","The output type Microsoft.Azure.Commands.Resources.Models.PSResourceGroupDeployment for cmdlet Get-AzureRmResourceGroupDeployment has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmResourceGroupDeployment"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","New-AzureRmResourceGroupDeployment","3","The output type Microsoft.Azure.Commands.Resources.Models.PSResourceGroupDeployment for cmdlet New-AzureRmResourceGroupDeployment has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmResourceGroupDeployment"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmResourceGroup","3","The output type Microsoft.Azure.Commands.Resources.Models.PSResourceGroup for cmdlet Get-AzureRmResourceGroup has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmResourceGroup"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","New-AzureRmResourceGroup","3","The output type Microsoft.Azure.Commands.Resources.Models.PSResourceGroup for cmdlet New-AzureRmResourceGroup has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmResourceGroup"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Set-AzureRmResourceGroup","3","The output type Microsoft.Azure.Commands.Resources.Models.PSResourceGroup for cmdlet Set-AzureRmResourceGroup has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmResourceGroup"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmRoleAssignment","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleAssignment","Add an output format for type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleAssignment in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmRoleAssignment","3","The output type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleAssignment for cmdlet Get-AzureRmRoleAssignment has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmRoleAssignment"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","New-AzureRmRoleAssignment","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleAssignment","Add an output format for type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleAssignment in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","New-AzureRmRoleAssignment","3","The output type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleAssignment for cmdlet New-AzureRmRoleAssignment has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmRoleAssignment"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Remove-AzureRmRoleAssignment","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleAssignment","Add an output format for type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleAssignment in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Remove-AzureRmRoleAssignment","3","The output type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleAssignment for cmdlet Remove-AzureRmRoleAssignment has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Remove-AzureRmRoleAssignment"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmRoleDefinition","3","The output type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleDefinition for cmdlet Get-AzureRmRoleDefinition has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmRoleDefinition"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","New-AzureRmRoleDefinition","3","The output type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleDefinition for cmdlet New-AzureRmRoleDefinition has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmRoleDefinition"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Set-AzureRmRoleDefinition","3","The output type Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleDefinition for cmdlet Set-AzureRmRoleDefinition has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmRoleDefinition"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Test-AzureRmResourceGroupDeployment","3","The output type Microsoft.Azure.Commands.Resources.Models.PSResourceManagerError for cmdlet Test-AzureRmResourceGroupDeployment has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Test-AzureRmResourceGroupDeployment"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmProviderFeature","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.ProviderFeatures.PSProviderFeature","Add an output format for type Microsoft.Azure.Commands.Resources.Models.ProviderFeatures.PSProviderFeature in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmProviderFeature","3","The output type Microsoft.Azure.Commands.Resources.Models.ProviderFeatures.PSProviderFeature for cmdlet Get-AzureRmProviderFeature has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmProviderFeature"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Register-AzureRmProviderFeature","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.ProviderFeatures.PSProviderFeature","Add an output format for type Microsoft.Azure.Commands.Resources.Models.ProviderFeatures.PSProviderFeature in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Register-AzureRmProviderFeature","3","The output type Microsoft.Azure.Commands.Resources.Models.ProviderFeatures.PSProviderFeature for cmdlet Register-AzureRmProviderFeature has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Register-AzureRmProviderFeature"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmADGroup","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADGroup","Add an output format for type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADGroup in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmADGroup","3","The output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADGroup for cmdlet Get-AzureRmADGroup has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmADGroup"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmADGroupMember","3","The output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADObject for cmdlet Get-AzureRmADGroupMember has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmADGroupMember"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmADServicePrincipal","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADServicePrincipal","Add an output format for type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADServicePrincipal in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmADServicePrincipal","3","The output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADServicePrincipal for cmdlet Get-AzureRmADServicePrincipal has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmADServicePrincipal"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmADUser","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADUser","Add an output format for type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADUser in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Get-AzureRmADUser","3","The output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADUser for cmdlet Get-AzureRmADUser has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmADUser"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","New-AzureRmADApplication","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADApplication","Add an output format for type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADApplication in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","New-AzureRmADApplication","3","The output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADApplication for cmdlet New-AzureRmADApplication has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmADApplication"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","New-AzureRmADServicePrincipal","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADServicePrincipal","Add an output format for type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADServicePrincipal in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","New-AzureRmADServicePrincipal","3","The output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADServicePrincipal for cmdlet New-AzureRmADServicePrincipal has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmADServicePrincipal"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Remove-AzureRmADApplication","0","The cmdlet Remove-AzureRmADApplication has no OutputType attribute.  Please add an OutputType attribute for each of the types the cmdlet may output.","Add OutputType attribute for each output type of cmdlet Remove-AzureRmADApplication."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Remove-AzureRmADServicePrincipal","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADServicePrincipal","Add an output format for type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADServicePrincipal in Microsoft.Azure.Commands.Resources.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Resources","Remove-AzureRmADServicePrincipal","3","The output type Microsoft.Azure.Commands.Resources.Models.ActiveDirectory.PSADServicePrincipal for cmdlet Remove-AzureRmADServicePrincipal has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Remove-AzureRmADServicePrincipal"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Get-AzureRMWebAppSlot","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet Get-AzureRMWebAppSlot has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRMWebAppSlot"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Get-AzureRMWebAppSlotMetrics","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSResourceMetric for cmdlet Get-AzureRMWebAppSlotMetrics has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRMWebAppSlotMetrics"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","New-AzureRMWebAppSlot","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet New-AzureRMWebAppSlot has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRMWebAppSlot"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Restart-AzureRMWebAppSlot","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet Restart-AzureRMWebAppSlot has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Restart-AzureRMWebAppSlot"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Set-AzureRMWebAppSlot","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet Set-AzureRMWebAppSlot has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRMWebAppSlot"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Start-AzureRMWebAppSlot","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet Start-AzureRMWebAppSlot has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Start-AzureRMWebAppSlot"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Stop-AzureRMWebAppSlot","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet Stop-AzureRMWebAppSlot has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Stop-AzureRMWebAppSlot"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Get-AzureRMAppServicePlanMetrics","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSResourceMetric for cmdlet Get-AzureRMAppServicePlanMetrics has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRMAppServicePlanMetrics"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Get-AzureRMWebApp","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet Get-AzureRMWebApp has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRMWebApp"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Get-AzureRMWebAppMetrics","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSResourceMetric for cmdlet Get-AzureRMWebAppMetrics has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRMWebAppMetrics"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","New-AzureRmWebApp","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet New-AzureRmWebApp has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmWebApp"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Restart-AzureRmWebApp","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet Restart-AzureRmWebApp has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Restart-AzureRmWebApp"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Set-AzureRMWebApp","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet Set-AzureRMWebApp has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRMWebApp"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Start-AzureRmWebApp","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet Start-AzureRmWebApp has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Start-AzureRmWebApp"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Stop-AzureRmWebApp","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSSite for cmdlet Stop-AzureRmWebApp has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Stop-AzureRmWebApp"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Get-AzureRMAppServicePlan","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSServerFarmWithRichSku for cmdlet Get-AzureRMAppServicePlan has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRMAppServicePlan"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","New-AzureRMAppServicePlan","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSServerFarmWithRichSku for cmdlet New-AzureRMAppServicePlan has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRMAppServicePlan"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Websites","Set-AzureRMAppServicePlan","3","The output type Microsoft.Azure.Commands.Websites.Models.WebApp.PSServerFarmWithRichSku for cmdlet Set-AzureRMAppServicePlan has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRMAppServicePlan"
"CLU Alias Validator","Microsoft.Azure.Commands.Websites","Microsoft.Azure.Commands.WebApps.Cmdlets.AppServicePlans.SetAzureAppServicePlanCmdlet","0","Missing CLI Command Alias Attribute","Add a CliCommand Alias attribute to cmdlet Microsoft.Azure.Commands.WebApps.Cmdlets.AppServicePlans.SetAzureAppServicePlanCmdlet"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Get-AzureRmApplicationGateway","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway","Add an output format for type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway in Microsoft.Azure.Commands.Network.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Get-AzureRmApplicationGateway","3","The output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway for cmdlet Get-AzureRmApplicationGateway has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmApplicationGateway"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","New-AzureRmApplicationGateway","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway","Add an output format for type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway in Microsoft.Azure.Commands.Network.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","New-AzureRmApplicationGateway","3","The output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway for cmdlet New-AzureRmApplicationGateway has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmApplicationGateway"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Remove-AzureRmApplicationGateway","0","The cmdlet Remove-AzureRmApplicationGateway has no OutputType attribute.  Please add an OutputType attribute for each of the types the cmdlet may output.","Add OutputType attribute for each output type of cmdlet Remove-AzureRmApplicationGateway."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Set-AzureRmApplicationGateway","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway","Add an output format for type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway in Microsoft.Azure.Commands.Network.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Set-AzureRmApplicationGateway","3","The output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway for cmdlet Set-AzureRmApplicationGateway has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmApplicationGateway"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Start-AzureRmApplicationGateway","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway","Add an output format for type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway in Microsoft.Azure.Commands.Network.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Start-AzureRmApplicationGateway","3","The output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway for cmdlet Start-AzureRmApplicationGateway has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Start-AzureRmApplicationGateway"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Stop-AzureRmApplicationGateway","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway","Add an output format for type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway in Microsoft.Azure.Commands.Network.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Stop-AzureRmApplicationGateway","3","The output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway for cmdlet Stop-AzureRmApplicationGateway has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Stop-AzureRmApplicationGateway"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Add-AzureRmApplicationGatewayBackendAddressPool","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway","Add an output format for type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway in Microsoft.Azure.Commands.Network.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Add-AzureRmApplicationGatewayBackendAddressPool","3","The output type Microsoft.Azure.Commands.Network.Models.PSApplicationGateway for cmdlet Add-AzureRmApplicationGatewayBackendAddressPool has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Add-AzureRmApplicationGatewayBackendAddressPool"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Get-AzureRmApplicationGatewayBackendAddressPool","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Network.Models.PSApplicationGatewayBackendAddressPool","Add an output format for type Microsoft.Azure.Commands.Network.Models.PSApplicationGatewayBackendAddressPool in Microsoft.Azure.Commands.Network.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","Get-AzureRmApplicationGatewayBackendAddressPool","3","The output type Microsoft.Azure.Commands.Network.Models.PSApplicationGatewayBackendAddressPool for cmdlet Get-AzureRmApplicationGatewayBackendAddressPool has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmApplicationGatewayBackendAddressPool"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Network","New-AzureRmApplicationGatewayBackendAddressPool","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Network.Models.PSApplicationGatewayBackendAddressPool","Add an output format for type Microsoft.Azure.Commands.Network.Models.PSApplicationGatewayBackendAddressPool in Microsoft.Azure.Commands.Network.format.ps1xml, or verify the default output display is correct."
