Validator,Assembly,Target,Severity,Description,Remediation
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Set-AzureRmVMExtension","3","The output type Microsoft.Azure.Commands.Compute.Models.PSComputeLongRunningOperation for cmdlet Set-AzureRmVMExtension has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmVMExtension"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMCustomScriptExtension","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Compute.Models.VirtualMachineCustomScriptExtensionContext","Add an output format for type Microsoft.Azure.Commands.Compute.Models.VirtualMachineCustomScriptExtensionContext in Microsoft.Azure.Commands.Compute.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMCustomScriptExtension","3","The output type Microsoft.Azure.Commands.Compute.Models.VirtualMachineCustomScriptExtensionContext for cmdlet Get-AzureRmVMCustomScriptExtension has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVMCustomScriptExtension"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMAccessExtension","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Compute.Models.VirtualMachineAccessExtensionContext","Add an output format for type Microsoft.Azure.Commands.Compute.Models.VirtualMachineAccessExtensionContext in Microsoft.Azure.Commands.Compute.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMAccessExtension","3","The output type Microsoft.Azure.Commands.Compute.Models.VirtualMachineAccessExtensionContext for cmdlet Get-AzureRmVMAccessExtension has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVMAccessExtension"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVmExtensionImage","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachineExtensionImage for cmdlet Get-AzureRmVmExtensionImage has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVmExtensionImage"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVmExtensionImage","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachineExtensionImageDetails for cmdlet Get-AzureRmVmExtensionImage has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVmExtensionImage"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMExtensionImageType","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachineExtensionImageType","Add an output format for type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachineExtensionImageType in Microsoft.Azure.Commands.Compute.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMExtensionImageType","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachineExtensionImageType for cmdlet Get-AzureRmVMExtensionImageType has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVMExtensionImageType"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMImage","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachineImage for cmdlet Get-AzureRmVMImage has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVMImage"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMImage","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachineImageDetail for cmdlet Get-AzureRmVMImage has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVMImage"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMImageOffer","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachineImageOffer for cmdlet Get-AzureRmVMImageOffer has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVMImageOffer"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMImagePublisher","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachineImagePublisher for cmdlet Get-AzureRmVMImagePublisher has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVMImagePublisher"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMImageSku","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachineImageSku for cmdlet Get-AzureRmVMImageSku has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVMImageSku"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMUsage","3","The output type Microsoft.Azure.Commands.Compute.Models.PSUsage for cmdlet Get-AzureRmVMUsage has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVMUsage"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Restart-AzureRmVM","3","The output type Microsoft.Azure.Commands.Compute.Models.PSComputeLongRunningOperation for cmdlet Restart-AzureRmVM has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Restart-AzureRmVM"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Save-AzureRmVMImage","3","The output type Microsoft.Azure.Commands.Compute.Models.PSComputeLongRunningOperation for cmdlet Save-AzureRmVMImage has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Save-AzureRmVMImage"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Add-AzureRmVMAdditionalUnattendContent","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Add-AzureRmVMAdditionalUnattendContent has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Add-AzureRmVMAdditionalUnattendContent"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Add-AzureRmVMDataDisk","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Add-AzureRmVMDataDisk has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Add-AzureRmVMDataDisk"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Add-AzureRmVMNetworkInterface","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Add-AzureRmVMNetworkInterface has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Add-AzureRmVMNetworkInterface"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Add-AzureRmVMSecret","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Add-AzureRmVMSecret has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Add-AzureRmVMSecret"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Add-AzureRmVMSshPublicKey","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Add-AzureRmVMSshPublicKey has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Add-AzureRmVMSshPublicKey"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","New-AzureRmVMConfig","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet New-AzureRmVMConfig has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmVMConfig"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Remove-AzureRmVMDataDisk","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Remove-AzureRmVMDataDisk has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Remove-AzureRmVMDataDisk"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Remove-AzureRmVMNetworkInterface","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Remove-AzureRmVMNetworkInterface has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Remove-AzureRmVMNetworkInterface"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Set-AzureRmVMBootDiagnostics","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Set-AzureRmVMBootDiagnostics has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmVMBootDiagnostics"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Set-AzureRmVMDataDisk","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Set-AzureRmVMDataDisk has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmVMDataDisk"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Set-AzureRmVMOperatingSystem","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Set-AzureRmVMOperatingSystem has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmVMOperatingSystem"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Set-AzureRmVMOSDisk","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Set-AzureRmVMOSDisk has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmVMOSDisk"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Set-AzureRmVMSourceImage","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Set-AzureRmVMSourceImage has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Set-AzureRmVMSourceImage"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMBootDiagnosticsData","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Get-AzureRmVMBootDiagnosticsData has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVMBootDiagnosticsData"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVM","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachine for cmdlet Get-AzureRmVM has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVM"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","New-AzureRmVM","3","The output type Microsoft.Azure.Commands.Compute.Models.PSComputeLongRunningOperation for cmdlet New-AzureRmVM has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmVM"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Remove-AzureRmVM","3","The output type Microsoft.Azure.Commands.Compute.Models.PSComputeLongRunningOperation for cmdlet Remove-AzureRmVM has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Remove-AzureRmVM"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Update-AzureRmVM","3","The output type Microsoft.Azure.Commands.Compute.Models.PSComputeLongRunningOperation for cmdlet Update-AzureRmVM has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Update-AzureRmVM"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Get-AzureRmVMSize","3","The output type Microsoft.Azure.Commands.Compute.Models.PSVirtualMachineSize for cmdlet Get-AzureRmVMSize has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmVMSize"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Add-AzureRmVhd","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Compute.Models.VhdUploadContext","Add an output format for type Microsoft.Azure.Commands.Compute.Models.VhdUploadContext in Microsoft.Azure.Commands.Compute.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Add-AzureRmVhd","3","The output type Microsoft.Azure.Commands.Compute.Models.VhdUploadContext for cmdlet Add-AzureRmVhd has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Add-AzureRmVhd"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Save-AzureRmVhd","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Compute.Models.VhdDownloadContext","Add an output format for type Microsoft.Azure.Commands.Compute.Models.VhdDownloadContext in Microsoft.Azure.Commands.Compute.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Compute","Save-AzureRmVhd","3","The output type Microsoft.Azure.Commands.Compute.Models.VhdDownloadContext for cmdlet Save-AzureRmVhd has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Save-AzureRmVhd"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Get-AzureRmStorageAccount","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Management.Storage.Models.PSStorageAccount","Add an output format for type Microsoft.Azure.Commands.Management.Storage.Models.PSStorageAccount in Microsoft.Azure.Commands.Management.Storage.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Get-AzureRmStorageAccount","3","The output type Microsoft.Azure.Commands.Management.Storage.Models.PSStorageAccount for cmdlet Get-AzureRmStorageAccount has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmStorageAccount"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Get-AzureRmStorageAccountKey","1","Missing output format for cmdlet output type Microsoft.Azure.Management.Storage.Models.StorageAccountKeys","Add an output format for type Microsoft.Azure.Management.Storage.Models.StorageAccountKeys in Microsoft.Azure.Commands.Management.Storage.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Get-AzureRmStorageAccountKey","3","The output type Microsoft.Azure.Management.Storage.Models.StorageAccountKeys for cmdlet Get-AzureRmStorageAccountKey has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for Get-AzureRmStorageAccountKey"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","New-AzureRmStorageAccount","1","Missing output format for cmdlet output type Microsoft.Azure.Commands.Management.Storage.Models.PSStorageAccount","Add an output format for type Microsoft.Azure.Commands.Management.Storage.Models.PSStorageAccount in Microsoft.Azure.Commands.Management.Storage.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","New-AzureRmStorageAccount","3","The output type Microsoft.Azure.Commands.Management.Storage.Models.PSStorageAccount for cmdlet New-AzureRmStorageAccount has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmStorageAccount"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","New-AzureRmStorageAccountKey","1","Missing output format for cmdlet output type Microsoft.Azure.Management.Storage.Models.StorageAccountKeys","Add an output format for type Microsoft.Azure.Management.Storage.Models.StorageAccountKeys in Microsoft.Azure.Commands.Management.Storage.format.ps1xml, or verify the default output display is correct."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","New-AzureRmStorageAccountKey","3","The output type Microsoft.Azure.Management.Storage.Models.StorageAccountKeys for cmdlet New-AzureRmStorageAccountKey has properties that are complex types, this may result in unexpected siaply output.","Verify cmdlet output for New-AzureRmStorageAccountKey"
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Remove-AzureRmStorageAccount","0","The cmdlet Remove-AzureRmStorageAccount has no OutputType attribute.  Please add an OutputType attribute for each of the types the cmdlet may output.","Add OutputType attribute for each output type of cmdlet Remove-AzureRmStorageAccount."
"Cmdlet Output Validator","Microsoft.Azure.Commands.Management.Storage","Set-AzureRmStorageAccount","1","Missing output format for cmdlet output type Microsoft.Azure.Management.Storage.Models.StorageAccount","Add an output format for type Microsoft.Azure.Management.Storage.Models.StorageAccount in Microsoft.Azure.Commands.Management.Storage.format.ps1xml, or verify the default output display is correct."
