"Assembly","HelpFile","Target","Severity","ProblemId","Description","Remediation"
"Microsoft.Azure.Commands.ResourceManager.Automation.dll","Microsoft.Azure.Commands.ResourceManager.Automation.dll-help.xml","Microsoft.Azure.Commands.Automation.Cmdlet.GetAzureAutomationJobOutputRecord","1","6050","Help missing for cmdlet Get-AzureRmAutomationJobOutputRecord implemented by class Microsoft.Azure.Commands.Automation.Cmdlet.GetAzureAutomationJobOutputRecord","Add Help record for cmdlet Get-AzureRmAutomationJobOutputRecord to help file."
"Microsoft.Azure.Commands.ResourceManager.Automation.dll","Microsoft.Azure.Commands.ResourceManager.Automation.dll-help.xml","Microsoft.Azure.Commands.Automation.Cmdlet.RemoveAzureAutomationDscNodeConfiguration","1","6050","Help missing for cmdlet Remove-AzureRmAutomationDscNodeConfiguration implemented by class Microsoft.Azure.Commands.Automation.Cmdlet.RemoveAzureAutomationDscNodeConfiguration","Add Help record for cmdlet Remove-AzureRmAutomationDscNodeConfiguration to help file."
"Microsoft.Azure.Commands.ResourceManager.Automation.dll","Microsoft.Azure.Commands.ResourceManager.Automation.dll-help.xml","Microsoft.Azure.Commands.Automation.Cmdlet.RemoveAzureAutomationDscConfiguration","1","6050","Help missing for cmdlet Remove-AzureRmAutomationDscConfiguration implemented by class Microsoft.Azure.Commands.Automation.Cmdlet.RemoveAzureAutomationDscConfiguration","Add Help record for cmdlet Remove-AzureRmAutomationDscConfiguration to help file."
"Microsoft.AzureStack.Commands.StorageAdmin.dll","Microsoft.AzureStack.Commands.StorageAdmin.dll-Help.xml","Microsoft.AzureStack.Commands.StorageAdmin.GetEvent","1","6050","Help missing for cmdlet Get-ACSEvent implemented by class Microsoft.AzureStack.Commands.StorageAdmin.GetEvent","Add Help record for cmdlet Get-ACSEvent to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.GetAzureRmVMAEMExtension","1","6050","Help missing for cmdlet Get-AzureRmVMAEMExtension implemented by class Microsoft.Azure.Commands.Compute.GetAzureRmVMAEMExtension","Add Help record for cmdlet Get-AzureRmVMAEMExtension to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.RemoveAzureRmVMAEMExtension","1","6050","Help missing for cmdlet Remove-AzureRmVMAEMExtension implemented by class Microsoft.Azure.Commands.Compute.RemoveAzureRmVMAEMExtension","Add Help record for cmdlet Remove-AzureRmVMAEMExtension to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.SetAzureRmVMAEMExtension","1","6050","Help missing for cmdlet Set-AzureRmVMAEMExtension implemented by class Microsoft.Azure.Commands.Compute.SetAzureRmVMAEMExtension","Add Help record for cmdlet Set-AzureRmVMAEMExtension to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.TestAzureRmVMAEMExtension","1","6050","Help missing for cmdlet Test-AzureRmVMAEMExtension implemented by class Microsoft.Azure.Commands.Compute.TestAzureRmVMAEMExtension","Add Help record for cmdlet Test-AzureRmVMAEMExtension to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.SetAzureVMBGInfoExtensionCommand","1","6050","Help missing for cmdlet Set-AzureRmVMBginfoExtension implemented by class Microsoft.Azure.Commands.Compute.SetAzureVMBGInfoExtensionCommand","Add Help record for cmdlet Set-AzureRmVMBginfoExtension to help file."
"Microsoft.Azure.Commands.Compute.dll","Microsoft.Azure.Commands.Compute.dll-Help.xml","Microsoft.Azure.Commands.Compute.SetAzureVMPlanCommand","1","6050","Help missing for cmdlet Set-AzureRmVMPlan implemented by class Microsoft.Azure.Commands.Compute.SetAzureVMPlanCommand","Add Help record for cmdlet Set-AzureRmVMPlan to help file."
"Microsoft.Azure.Commands.Management.Storage.dll","Microsoft.Azure.Commands.Management.Storage.dll-Help.xml","Microsoft.Azure.Commands.Management.Storage.SetAzureRmCurrentStorageAccount","1","6050","Help missing for cmdlet Set-AzureRmCurrentStorageAccount implemented by class Microsoft.Azure.Commands.Management.Storage.SetAzureRmCurrentStorageAccount","Add Help record for cmdlet Set-AzureRmCurrentStorageAccount to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.NewAzureApplicationGatewayPathRuleConfigCommand","1","6050","Help missing for cmdlet New-AzureRmApplicationGatewayPathRuleConfig implemented by class Microsoft.Azure.Commands.Network.NewAzureApplicationGatewayPathRuleConfigCommand","Add Help record for cmdlet New-AzureRmApplicationGatewayPathRuleConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.AddAzureApplicationGatewayProbeConfigCommand","1","6050","Help missing for cmdlet Add-AzureRmApplicationGatewayProbeConfig implemented by class Microsoft.Azure.Commands.Network.AddAzureApplicationGatewayProbeConfigCommand","Add Help record for cmdlet Add-AzureRmApplicationGatewayProbeConfig to help file."
"Microsoft.Azure.Commands.Network.dll","Microsoft.Azure.Commands.Network.dll-Help.xml","Microsoft.Azure.Commands.Network.GetAzureApplicationGatewayProbeConfigCommand","1","6050","Help missing for cmdlet Get-AzureRmApplicationGatewayProbeConfig implemented by class Microsoft.Azure.Commands.Network.GetAzureApplicationGatewayProbeConfigCommand","Add Help record for cmdlet Get-AzureRmApplicationGatewayProbeConfig to help file."
