"Target","AssemblyName","AssemblyVersion","Severity","ProblemId","Description","Remediation"
"File version 1.0 in c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\Az.Resources\System.Reflection.Emit.Lightweight.dll, File version 4.6 in c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\Az.Accounts\System.Reflection.Emit.Lightweight.dll","System.Reflection.Emit.Lightweight","4.0.3.0","0","7000","Shared assembly conflict, shared assemblies with the same assembly version have differing file versions","Update the assembly reference for System.Reflection.Emit.Lightweight in one of the referring assemblies"
"File version 4.6 in c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\Az.Storage\System.Private.DataContractSerialization.dll, File version 1.0 in c:\workspace\powershell\src\Package\Debug\ResourceManager\AzureResourceManager\Az.Accounts\System.Private.DataContractSerialization.dll","System.Private.DataContractSerialization","4.1.4.0","0","7000","Shared assembly conflict, shared assemblies with the same assembly version have differing file versions","Update the assembly reference for System.Private.DataContractSerialization in one of the referring assemblies"
