"Module","ClassName","Target","Severity","ProblemId","Description","Remediation"
"Az.Workloads","New-AzWorkloadsProviderDB2InstanceObject","New-AzWorkloadsProviderDB2InstanceObject","1","8100","New-AzWorkloadsProviderDB2InstanceObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Workloads","New-AzWorkloadsProviderHanaDbInstanceObject","New-AzWorkloadsProviderHanaDbInstanceObject","1","8100","New-AzWorkloadsProviderHanaDbInstanceObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Workloads","New-AzWorkloadsProviderPrometheusHaClusterInstanceObject","New-AzWorkloadsProviderPrometheusHaClusterInstanceObject","1","8100","New-AzWorkloadsProviderPrometheusHaClusterInstanceObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Workloads","New-AzWorkloadsProviderPrometheusOSInstanceObject","New-AzWorkloadsProviderPrometheusOSInstanceObject","1","8100","New-AzWorkloadsProviderPrometheusOSInstanceObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Workloads","New-AzWorkloadsProviderSapNetWeaverInstanceObject","New-AzWorkloadsProviderSapNetWeaverInstanceObject","1","8100","New-AzWorkloadsProviderSapNetWeaverInstanceObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Workloads","New-AzWorkloadsProviderSqlServerInstanceObject","New-AzWorkloadsProviderSqlServerInstanceObject","1","8100","New-AzWorkloadsProviderSqlServerInstanceObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Workloads","New-AzWorkloadsSapLandscapeMonitorMetricThresholdsObject","New-AzWorkloadsSapLandscapeMonitorMetricThresholdsObject","1","8100","New-AzWorkloadsSapLandscapeMonitorMetricThresholdsObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
"Az.Workloads","New-AzWorkloadsSapLandscapeMonitorSidMappingObject","New-AzWorkloadsSapLandscapeMonitorSidMappingObject","1","8100","New-AzWorkloadsSapLandscapeMonitorSidMappingObject Does not support ShouldProcess but the cmdlet verb New indicates that it should.","Determine if the cmdlet should implement ShouldProcess and if so determine if it should implement Force / ShouldContinue"
