"Assembly","HelpFile","Target","Severity","ProblemId","Description","Remediation"
"","","New-AzFrontDoorCdnRuleUrlFileExtensionConditionObject","1","8000","Help content doesn't conform to PlatyPS Schema definition","No."
"","","Start-AzFrontDoorCdnProfilePrepareMigration","1","8000","Help content doesn't conform to PlatyPS Schema definition","No."
