"Module","Cmdlet","Example","RuleName","ProblemId","Severity","Description","Extent","Remediation"
"Cdn","Clear-AzFrontDoorCdnEndpointContent","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Clear-AzFrontDoorCdnEndpointContent.md","Add description for the example. Remove any placeholders."
"Cdn","Get-AzCdnProfile","0","MissingSynopsis","5040","1","Synopsis is missing.","Cdn\help\Get-AzCdnProfile.md","Add Synopsis. Remove any placeholders."
"Cdn","Get-AzCdnProfile","0","MissingDescription","5041","1","Description is missing.","Cdn\help\Get-AzCdnProfile.md","Add Description. Remove any placeholders."
"Cdn","Get-AzFrontDoorCdnProfile","0","MissingSynopsis","5040","1","Synopsis is missing.","Cdn\help\Get-AzFrontDoorCdnProfile.md","Add Synopsis. Remove any placeholders."
"Cdn","Get-AzFrontDoorCdnProfile","0","MissingDescription","5041","1","Description is missing.","Cdn\help\Get-AzFrontDoorCdnProfile.md","Add Description. Remove any placeholders."
"Cdn","New-AzFrontDoorCdnOriginGroup","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\New-AzFrontDoorCdnOriginGroup.md","Add description for the example. Remove any placeholders."
"Cdn","New-AzFrontDoorCdnSecret","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\New-AzFrontDoorCdnSecret.md","Add description for the example. Remove any placeholders."
"Cdn","Remove-AzCdnProfile","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Remove-AzCdnProfile.md","Add description for the example. Remove any placeholders."
"Cdn","Remove-AzCdnProfile","2","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Remove-AzCdnProfile.md","Add description for the example. Remove any placeholders."
"Cdn","Remove-AzFrontDoorCdnEndpoint","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Remove-AzFrontDoorCdnEndpoint.md","Add description for the example. Remove any placeholders."
"Cdn","Remove-AzFrontDoorCdnOrigin","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Remove-AzFrontDoorCdnOrigin.md","Add description for the example. Remove any placeholders."
"Cdn","Remove-AzFrontDoorCdnOriginGroup","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Remove-AzFrontDoorCdnOriginGroup.md","Add description for the example. Remove any placeholders."
"Cdn","Remove-AzFrontDoorCdnProfile","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Remove-AzFrontDoorCdnProfile.md","Add description for the example. Remove any placeholders."
"Cdn","Remove-AzFrontDoorCdnProfile","2","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Remove-AzFrontDoorCdnProfile.md","Add description for the example. Remove any placeholders."
"Cdn","Remove-AzFrontDoorCdnRule","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Remove-AzFrontDoorCdnRule.md","Add description for the example. Remove any placeholders."
"Cdn","Remove-AzFrontDoorCdnRuleSet","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Remove-AzFrontDoorCdnRuleSet.md","Add description for the example. Remove any placeholders."
"Cdn","Remove-AzFrontDoorCdnSecret","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Remove-AzFrontDoorCdnSecret.md","Add description for the example. Remove any placeholders."
"Cdn","Test-AzFrontDoorCdnProfileHostNameAvailability","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Test-AzFrontDoorCdnProfileHostNameAvailability.md","Add description for the example. Remove any placeholders."
"Cdn","Update-AzFrontDoorCdnOrigin","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Update-AzFrontDoorCdnOrigin.md","Add description for the example. Remove any placeholders."
"Cdn","Update-AzFrontDoorCdnOriginGroup","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Update-AzFrontDoorCdnOriginGroup.md","Add description for the example. Remove any placeholders."
"Cdn","Update-AzFrontDoorCdnRule","1","MissingExampleDescription","5046","1","Description of the example is missing.","Cdn\help\Update-AzFrontDoorCdnRule.md","Add description for the example. Remove any placeholders."
"Cdn","Update-AzCdnEndpoint","1","Unassigned_Variable","5110","2","Update-AzCdnEndpoint -DefaultOriginGroupId $originGroup.Id is a null-valued parameter value.","-DefaultOriginGroupId","Assign value for $originGroup.Id."
"Cdn","Update-AzFrontDoorCdnCustomDomain","1","Unassigned_Variable","5110","2","Update-AzFrontDoorCdnCustomDomain -TlsSetting $updateSetting is a null-valued parameter value.","-TlsSetting","Assign value for $updateSetting."
"Cdn","Update-AzFrontDoorCdnSecurityPolicy","1","Unassigned_Variable","5110","2","New-AzFrontDoorCdnSecurityPolicyWebApplicationFirewallParametersObject -WafPolicyId $wafPolicyId is a null-valued parameter value.","-WafPolicyId","Assign value for $wafPolicyId."
