"Module","Cmdlet","Example","Line","RuleName","ProblemId","Severity","Description","Extent","Remediation"
"Az.CosmosDB","New-AzCosmosDBAccount","2","1","Invalid_Parameter_Name","5011","1","New-AzCosmosDBAccount -SourceRestorableDatabaseAccountId is not a valid parameter name.","-SourceRestorableDatabaseAccountId","Check validity of the parameter -SourceRestorableDatabaseAccountId."
"Az.CosmosDB","New-AzCosmosDBAccount","2","1","Invalid_Parameter_Name","5011","1","New-AzCosmosDBAccount -RestoreTimesampInUtc is not a valid parameter name.","-RestoreTimesampInUtc","Check validity of the parameter -RestoreTimesampInUtc."
"Az.CosmosDB","New-AzCosmosDBAccount","3","1","Invalid_Parameter_Name","5011","1","New-AzCosmosDBAccount -SourceDatabaseAccountName is not a valid parameter name.","-SourceDatabaseAccountName","Check validity of the parameter -SourceDatabaseAccountName."
"Az.CosmosDB","New-AzCosmosDBAccount","3","1","Invalid_Parameter_Name","5011","1","New-AzCosmosDBAccount -RestoreTimesampInUtc is not a valid parameter name.","-RestoreTimesampInUtc","Check validity of the parameter -RestoreTimesampInUtc."
"Az.CosmosDB","New-AzCosmosDBMongoDBRoleDefinition","1","8","Invalid_Cmdlet","5000","1","-AccountName is not a valid command name.","-AccountName accountName","Check the spell of -AccountName."
"Az.CosmosDB","New-AzCosmosDBMongoDBRoleDefinition","1","9","Invalid_Cmdlet","5000","1","-ResourceGroupName is not a valid command name.","-ResourceGroupName resourceGroupName","Check the spell of -ResourceGroupName."
"Az.CosmosDB","New-AzCosmosDBMongoDBRoleDefinition","1","10","Invalid_Cmdlet","5000","1","-DatabaseName is not a valid command name.","-DatabaseName test","Check the spell of -DatabaseName."
"Az.CosmosDB","New-AzCosmosDBMongoDBRoleDefinition","1","11","Invalid_Cmdlet","5000","1","-Id is not a valid command name.","-Id id","Check the spell of -Id."
"Az.CosmosDB","New-AzCosmosDBMongoDBRoleDefinition","1","12","Invalid_Cmdlet","5000","1","-Type is not a valid command name.","-Type CustomRole","Check the spell of -Type."
"Az.CosmosDB","New-AzCosmosDBMongoDBRoleDefinition","1","13","Invalid_Cmdlet","5000","1","-RoleName is not a valid command name.","-RoleName roleName","Check the spell of -RoleName."
"Az.CosmosDB","New-AzCosmosDBMongoDBRoleDefinition","1","14","Invalid_Cmdlet","5000","1","-Privileges is not a valid command name.","-Privileges $Privilege","Check the spell of -Privileges."
