"Module","Severity","ResourceType","SubResourceType","Command","Description"
"Az.CosmosDB","1","Microsoft.DocumentDB","databaseAccounts","Get-AzCosmosDBAccount","Cmdlet Get-AzCosmosDBAccount is not contained in Az.CosmosDB."
"Az.CosmosDB","1","Microsoft.DocumentDB","databaseAccounts","Remove-AzCosmosDBAccount","Cmdlet Remove-AzCosmosDBAccount is not contained in Az.CosmosDB."
