Target,AssemblyName,AssemblyVersion,Severity,ProblemId,Description,Remediation
"File version 3.14 in D:\Azure-Powershell\azure-powershell\artifacts\Debug\Az.CosmosDB\Microsoft.IdentityModel.Clients.ActiveDirectory.dll, File version 3.19 in D:\Azure-Powershell\azure-powershell\artifacts\Debug\Az.Accounts\Microsoft.IdentityModel.Clients.ActiveDirectory.dll",Microsoft.IdentityModel.Clients.ActiveDirectory,3.19.2.6005,0,7000,"Shared assembly conflict, shared assemblies with the same assembly version have differing file versions",Update the assembly reference for Microsoft.IdentityModel.Clients.ActiveDirectory in one of the referring assemblies
"File version 3.14 in D:\Azure-Powershell\azure-powershell\artifacts\Debug\Az.CosmosDB\Microsoft.IdentityModel.Clients.ActiveDirectory.Platform.dll, File version 3.19 in D:\Azure-Powershell\azure-powershell\artifacts\Debug\Az.Accounts\Microsoft.IdentityModel.Clients.ActiveDirectory.Platform.dll",Microsoft.IdentityModel.Clients.ActiveDirectory.Platform,3.19.2.6005,0,7000,"Shared assembly conflict, shared assemblies with the same assembly version have differing file versions",Update the assembly reference for Microsoft.IdentityModel.Clients.ActiveDirectory.Platform in one of the referring assemblies
"File version 8.1 in D:\Azure-Powershell\azure-powershell\artifacts\Debug\Az.CosmosDB\Microsoft.WindowsAzure.Storage.dll, File version 9.3 in D:\Azure-Powershell\azure-powershell\artifacts\Debug\Az.Accounts\Microsoft.WindowsAzure.Storage.dll",Microsoft.WindowsAzure.Storage,9.3.0.0,0,7000,"Shared assembly conflict, shared assemblies with the same assembly version have differing file versions",Update the assembly reference for Microsoft.WindowsAzure.Storage in one of the referring assemblies
