"Module","Severity","ResourceType","SubResourceType","Command","Description"
"Az.ManagedServiceIdentity","1","Microsoft.ManagedIdentity","userAssignedIdentities-federatedIdentityCredentials","Get-AzFederatedIdentityCredentials","Cmdlet Get-AzFederatedIdentityCredentials is not contained in Az.ManagedServiceIdentity."
"Az.ManagedServiceIdentity","1","Microsoft.ManagedIdentity","userAssignedIdentities-federatedIdentityCredentials","Remove-AzFederatedIdentityCredentials","Cmdlet Remove-AzFederatedIdentityCredentials is not contained in Az.ManagedServiceIdentity."
