"Directory","AssemblyName","Severity","ProblemId","Description","Remediation"
"C:\azure-powershell\artifacts/Debug\Az.Accounts","Microsoft.ApplicationInsights","2","2000","Assembly Microsoft.ApplicationInsights is not referenced from any cmdlets assembly","Remove assembly Microsoft.ApplicationInsights from the project and regenerate the Wix file"
"C:\azure-powershell\artifacts/Debug\Az.Accounts","Microsoft.Azure.PowerShell.Clients.Aks","2","2000","Assembly Microsoft.Azure.PowerShell.Clients.Aks is not referenced from any cmdlets assembly","Remove assembly Microsoft.Azure.PowerShell.Clients.Aks from the project and regenerate the Wix file"
"C:\azure-powershell\artifacts/Debug\Az.Accounts","Microsoft.Azure.PowerShell.Clients.Authorization","2","2000","Assembly Microsoft.Azure.PowerShell.Clients.Authorization is not referenced from any cmdlets assembly","Remove assembly Microsoft.Azure.PowerShell.Clients.Authorization from the project and regenerate the Wix file"
"C:\azure-powershell\artifacts/Debug\Az.Accounts","Microsoft.Azure.PowerShell.Clients.Compute","2","2000","Assembly Microsoft.Azure.PowerShell.Clients.Compute is not referenced from any cmdlets assembly","Remove assembly Microsoft.Azure.PowerShell.Clients.Compute from the project and regenerate the Wix file"
"C:\azure-powershell\artifacts/Debug\Az.Accounts","Microsoft.Azure.PowerShell.Clients.Graph.Rbac","2","2000","Assembly Microsoft.Azure.PowerShell.Clients.Graph.Rbac is not referenced from any cmdlets assembly","Remove assembly Microsoft.Azure.PowerShell.Clients.Graph.Rbac from the project and regenerate the Wix file"
"C:\azure-powershell\artifacts/Debug\Az.Accounts","Microsoft.Azure.PowerShell.Clients.KeyVault","2","2000","Assembly Microsoft.Azure.PowerShell.Clients.KeyVault is not referenced from any cmdlets assembly","Remove assembly Microsoft.Azure.PowerShell.Clients.KeyVault from the project and regenerate the Wix file"
"C:\azure-powershell\artifacts/Debug\Az.Accounts","Microsoft.Azure.PowerShell.Clients.Monitor","2","2000","Assembly Microsoft.Azure.PowerShell.Clients.Monitor is not referenced from any cmdlets assembly","Remove assembly Microsoft.Azure.PowerShell.Clients.Monitor from the project and regenerate the Wix file"
"C:\azure-powershell\artifacts/Debug\Az.Accounts","Microsoft.Azure.PowerShell.Clients.Network","2","2000","Assembly Microsoft.Azure.PowerShell.Clients.Network is not referenced from any cmdlets assembly","Remove assembly Microsoft.Azure.PowerShell.Clients.Network from the project and regenerate the Wix file"
"C:\azure-powershell\artifacts/Debug\Az.Accounts","Microsoft.Azure.PowerShell.Clients.PolicyInsights","2","2000","Assembly Microsoft.Azure.PowerShell.Clients.PolicyInsights is not referenced from any cmdlets assembly","Remove assembly Microsoft.Azure.PowerShell.Clients.PolicyInsights from the project and regenerate the Wix file"
"C:\azure-powershell\artifacts/Debug\Az.Accounts","Microsoft.Azure.PowerShell.Clients.Storage.Management","2","2000","Assembly Microsoft.Azure.PowerShell.Clients.Storage.Management is not referenced from any cmdlets assembly","Remove assembly Microsoft.Azure.PowerShell.Clients.Storage.Management from the project and regenerate the Wix file"
