"Module","Severity","ResourceType","SubResourceType","Command","Description"
"Az.StackHCI","1","Microsoft.AzureStackHCI","clusters-arcSettings","Invoke-AzStackHciConsentAndInstallDefaultExtension","arcSettingName is defined in path but cannot find in example"
"Az.StackHCI","1","Microsoft.AzureStackHCI","edgeDevices","Test-AzStackHciEdgeDevice","Cannot find a matched parameter set for example of Test-AzStackHciEdgeDevice"
