PS C:\Code\azure-powershell-pr\tools\miyanni\powershell> Get-AzProviderFeature -ProviderNamespace Microsoft.Network -ListAvailable

EnableOperationBatching                                        Microsoft.Network NotRegistered
EnableTenantNoSyncLock                                         Microsoft.Network NotRegistered
EnableTenantOperationBatching                                  Microsoft.Network NotRegistered
EnableValidationInBackgroundTask                               Microsoft.Network NotRegistered
ExrGwGatewaySubscription                                       Microsoft.Network NotRegistered
HybridRegionPreview                                            Microsoft.Network NotRegistered
isVMSSVirtualNetworkGatewayAllowed                             Microsoft.Network NotRegistered
PrivateDnsGcpDaily                                             Microsoft.Network NotRegistered
PrivateDnsGcpPPE                                               Microsoft.Network NotRegistered
SecureGwGatewaySubscription                                    Microsoft.Network NotRegistered
SkipPseudoVipGeneration                                        Microsoft.Network NotRegistered
TestFlag                                                       Microsoft.Network NotRegistered
ThrottleArmOperationsRnm                                       Microsoft.Network NotRegistered
TrafficManagerHeatMap                                          Microsoft.Network NotRegistered
VpnGwGatewaySubscription                                       Microsoft.Network NotRegistered
AllowApplicationGatewayEnableFIPS                              Microsoft.Network Registered
AllowApplicationGatewayVMScaleSetDeployment                    Microsoft.Network Registered
AllowApplicationGatewayZonePinning                             Microsoft.Network Registered
AllowApplicationSecurityGroups                                 Microsoft.Network Registered
AllowCortexAccess                                              Microsoft.Network Registered
AllowCortexExpressRouteGateway                                 Microsoft.Network Registered
AllowILBAllPortsRule                                           Microsoft.Network Registered
AllowInterfaceEndpoints                                        Microsoft.Network NotRegistered
AllowLBPreview                                                 Microsoft.Network Registered
AllowLBPreviewWave2                                            Microsoft.Network Registered
AllowLBPreviewWave3                                            Microsoft.Network Registered
AllowNatGateway                                                Microsoft.Network Registered
AllowNetworkProfiles                                           Microsoft.Network Registered
AllowPrivateEndpoints                                          Microsoft.Network Registered
AllowPublicIpPrefix                                            Microsoft.Network Registered
AllowSecureVnets                                               Microsoft.Network Registered
AllowServiceEndpointPolicies                                   Microsoft.Network Registered
AllowStandardLBOutboundRulesPreview                            Microsoft.Network Registered
AllowSubnetDelegation                                          Microsoft.Network Registered
AllowVnetServiceEndpoints                                      Microsoft.Network Registered
CloudDnsReleaseCandidate                                       Microsoft.Network Registered
