PS C:\Code\azps-generation\src\Network [Az.Network]> Get-AzExpressRouteServiceProvider

Location Name                                       Type
-------- ----                                       ----
         AARNet                                     Microsoft.Network/expressRouteServiceProviders
         Airtel                                     Microsoft.Network/expressRouteServiceProviders
         Aryaka Networks                            Microsoft.Network/expressRouteServiceProviders
         Ascenty                                    Microsoft.Network/expressRouteServiceProviders
         AT&T                                       Microsoft.Network/expressRouteServiceProviders
         AT&T Netbond                               Microsoft.Network/expressRouteServiceProviders
         Bell Canada                                Microsoft.Network/expressRouteServiceProviders
         British Telecom                            Microsoft.Network/expressRouteServiceProviders
         C3ntro                                     Microsoft.Network/expressRouteServiceProviders
         CDC                                        Microsoft.Network/expressRouteServiceProviders
         CenturyLink Cloud Connect                  Microsoft.Network/expressRouteServiceProviders
         Chief Telecom                              Microsoft.Network/expressRouteServiceProviders
         China Telecom Global                       Microsoft.Network/expressRouteServiceProviders
         Cologix                                    Microsoft.Network/expressRouteServiceProviders
         Colt Ethernet                              Microsoft.Network/expressRouteServiceProviders
         Colt IPVPN                                 Microsoft.Network/expressRouteServiceProviders
         Comcast                                    Microsoft.Network/expressRouteServiceProviders
         Coresite                                   Microsoft.Network/expressRouteServiceProviders
         DE-CIX                                     Microsoft.Network/expressRouteServiceProviders
         Devoli                                     Microsoft.Network/expressRouteServiceProviders
         du datamena                                Microsoft.Network/expressRouteServiceProviders
         eir                                        Microsoft.Network/expressRouteServiceProviders
         Epsilon Global Communications              Microsoft.Network/expressRouteServiceProviders
         Equinix                                    Microsoft.Network/expressRouteServiceProviders
         Etisalat UAE                               Microsoft.Network/expressRouteServiceProviders
         euNetworks                                 Microsoft.Network/expressRouteServiceProviders
         FarEasTone                                 Microsoft.Network/expressRouteServiceProviders
         GEANT                                      Microsoft.Network/expressRouteServiceProviders
         GlobalcloudXchange                         Microsoft.Network/expressRouteServiceProviders
         IIJ                                        Microsoft.Network/expressRouteServiceProviders
         InterCloud                                 Microsoft.Network/expressRouteServiceProviders
         InterCloud for Azure                       Microsoft.Network/expressRouteServiceProviders
         Internet Solutions                         Microsoft.Network/expressRouteServiceProviders
         Internet Solutions - Cloud Connect         Microsoft.Network/expressRouteServiceProviders
         Internet2                                  Microsoft.Network/expressRouteServiceProviders
         Interxion                                  Microsoft.Network/expressRouteServiceProviders
         Iron Mountain                              Microsoft.Network/expressRouteServiceProviders
         IX Reach                                   Microsoft.Network/expressRouteServiceProviders
         Jaguar Network                             Microsoft.Network/expressRouteServiceProviders
         Jisc                                       Microsoft.Network/expressRouteServiceProviders
         KINX                                       Microsoft.Network/expressRouteServiceProviders
         Kordia                                     Microsoft.Network/expressRouteServiceProviders
         KPN                                        Microsoft.Network/expressRouteServiceProviders
         Level 3 Communications - Exchange          Microsoft.Network/expressRouteServiceProviders
         Level 3 Communications - IPVPN             Microsoft.Network/expressRouteServiceProviders
         LG CNS                                     Microsoft.Network/expressRouteServiceProviders
         Liquid Telecom                             Microsoft.Network/expressRouteServiceProviders
         Megaport                                   Microsoft.Network/expressRouteServiceProviders
         MTN                                        Microsoft.Network/expressRouteServiceProviders
         Neutrona Networks                          Microsoft.Network/expressRouteServiceProviders
         Next Generation Data                       Microsoft.Network/expressRouteServiceProviders
         NEXTDC                                     Microsoft.Network/expressRouteServiceProviders
         NTT Communications                         Microsoft.Network/expressRouteServiceProviders
         NTT Communications - Flexible InterConnect Microsoft.Network/expressRouteServiceProviders
         NTT EAST                                   Microsoft.Network/expressRouteServiceProviders
         NTT SmartConnect                           Microsoft.Network/expressRouteServiceProviders
         Optus                                      Microsoft.Network/expressRouteServiceProviders
         Orange                                     Microsoft.Network/expressRouteServiceProviders
         Orixcom                                    Microsoft.Network/expressRouteServiceProviders
         Pacific Northwest Gigapop                  Microsoft.Network/expressRouteServiceProviders
         Packet                                     Microsoft.Network/expressRouteServiceProviders
         PacketFabric                               Microsoft.Network/expressRouteServiceProviders
         PCCW Global Limited                        Microsoft.Network/expressRouteServiceProviders
         RedCLARA                                   Microsoft.Network/expressRouteServiceProviders
         Reliance Jio                               Microsoft.Network/expressRouteServiceProviders
         Sejong Telecom                             Microsoft.Network/expressRouteServiceProviders
         SES                                        Microsoft.Network/expressRouteServiceProviders
         SIFY                                       Microsoft.Network/expressRouteServiceProviders
         SingTel Domestic                           Microsoft.Network/expressRouteServiceProviders
         SingTel International                      Microsoft.Network/expressRouteServiceProviders
         SoftBank                                   Microsoft.Network/expressRouteServiceProviders
         Spark NZ                                   Microsoft.Network/expressRouteServiceProviders
         Sprint                                     Microsoft.Network/expressRouteServiceProviders
         Tata Communications                        Microsoft.Network/expressRouteServiceProviders
         Telefonica                                 Microsoft.Network/expressRouteServiceProviders
         Telehouse - KDDI                           Microsoft.Network/expressRouteServiceProviders
         Telenor                                    Microsoft.Network/expressRouteServiceProviders
         Telia Carrier                              Microsoft.Network/expressRouteServiceProviders
         Telmex                                     Microsoft.Network/expressRouteServiceProviders
         Telstra Corporation                        Microsoft.Network/expressRouteServiceProviders
         Telus                                      Microsoft.Network/expressRouteServiceProviders
         Teraco                                     Microsoft.Network/expressRouteServiceProviders
         Time dotCom                                Microsoft.Network/expressRouteServiceProviders
         TPG Telecom                                Microsoft.Network/expressRouteServiceProviders
         Transtelco                                 Microsoft.Network/expressRouteServiceProviders
         UOLDIVEO                                   Microsoft.Network/expressRouteServiceProviders
         Verizon                                    Microsoft.Network/expressRouteServiceProviders
         Viasat                                     Microsoft.Network/expressRouteServiceProviders
         Vocus Group NZ                             Microsoft.Network/expressRouteServiceProviders
         Vodafone                                   Microsoft.Network/expressRouteServiceProviders
         Vodafone Idea Limited                      Microsoft.Network/expressRouteServiceProviders
         Zayo                                       Microsoft.Network/expressRouteServiceProviders
         Zayo Group                                 Microsoft.Network/expressRouteServiceProviders
