"Module","Severity","ResourceType","SubResourceType","Command","Description"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-buildServices-agentPools","Get-AzSpringCloudBuildServiceAgentPool","buildServiceName is defined in path but cannot find in example"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-buildServices-agentPools","Get-AzSpringCloudBuildServiceAgentPool","agentPoolName is defined in path but cannot find in example"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-buildServices-builders-buildpackBindings","Get-AzSpringCloudBuildpackBinding","buildServiceName is defined in path but cannot find in example"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-buildServices-builders-buildpackBindings","Remove-AzSpringCloudBuildpackBinding","buildServiceName is defined in path but cannot find in example"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-buildServices-builders","Get-AzSpringCloudBuildServiceBuilder","buildServiceName is defined in path but cannot find in example"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-buildServices-builders","Remove-AzSpringCloudBuildServiceBuilder","buildServiceName is defined in path but cannot find in example"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-buildServices-supportedBuildpacks","Get-AzSpringCloudBuildServiceSupportedBuildpack","buildServiceName is defined in path but cannot find in example"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-buildServices-supportedStacks","Get-AzSpringCloudBuildServiceSupportedStack","buildServiceName is defined in path but cannot find in example"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-buildServices","Get-AzSpringCloudBuildService","buildServiceName is defined in path but cannot find in example"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-configurationServices","Get-AzSpringCloudConfigurationService","configurationServiceName is defined in path but cannot find in example"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-configurationServices","Remove-AzSpringCloudConfigurationService","configurationServiceName is defined in path but cannot find in example"
"Az.SpringCloud","1","Microsoft.AppPlatform","Spring-serviceRegistries","Get-AzSpringCloudRegistry","serviceRegistryName is defined in path but cannot find in example"
