"Directory","AssemblyName","Expected Version","Actual Version","Parent Assembly","Severity","ProblemId","Description","Remediation"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Hyak.Common","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Hyak.Common.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Azure.Commands.Common.Authentication.Abstractions","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Azure.Commands.Common.Authentication.Abstractions.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Azure.Commands.ResourceManager.Common","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Azure.Commands.ResourceManager.Common.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Azure.Management.Storage","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Azure.Management.Storage.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Rest.ClientRuntime.Azure","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Rest.ClientRuntime.Azure.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Rest.ClientRuntime","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Rest.ClientRuntime.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.WindowsAzure.Commands.Common","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.WindowsAzure.Commands.Common.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Hyak.Common","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Hyak.Common.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Azure.Commands.Common.Authentication.Abstractions","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Azure.Commands.Common.Authentication.Abstractions.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Rest.ClientRuntime.Azure","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Rest.ClientRuntime.Azure.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Rest.ClientRuntime","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Rest.ClientRuntime.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.WindowsAzure.Commands.Common","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.WindowsAzure.Commands.Common.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","6.0.0.0","10.0.0.0","Microsoft.Azure.Commands.ResourceManager.Common","1","1010","Assembly Newtonsoft.Json version 6.0.0.0 referenced from Microsoft.Azure.Commands.ResourceManager.Common.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 6.0.0.0 of assembly Newtonsoft.Json"
"Az.Storage","Newtonsoft.Json","13.0.0.0","10.0.0.0","Microsoft.Azure.PowerShell.Storage.Management.Sdk","1","1010","Assembly Newtonsoft.Json version 13.0.0.0 referenced from Microsoft.Azure.PowerShell.Storage.Management.Sdk.dll does not match assembly version on disk: 10.0.0.0","Update any references to version 10.0.0.0 of assembly Newtonsoft.Json"

