"Directory","Assembly Name","Assembly Version","Referencing Assembly","Severity","ProblemId","Description","Remediation"
"Az.Storage","Mono.Posix.NETStandard","1.0.0.0","Microsoft.WindowsAzure.Storage.DataMovement","0","3000","Missing assembly Mono.Posix.NETStandard referenced from Microsoft.WindowsAzure.Storage.DataMovement","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","Microsoft.Win32.Registry","4.1.1.0","System.Management.Automation","0","3000","Missing assembly Microsoft.Win32.Registry referenced from System.Management.Automation","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","Microsoft.PowerShell.CoreCLR.Eventing","6.1.0.0","System.Management.Automation","0","3000","Missing assembly Microsoft.PowerShell.CoreCLR.Eventing referenced from System.Management.Automation","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","Mono.Posix.NETStandard","1.0.0.0","Microsoft.Azure.Storage.DataMovement","0","3000","Missing assembly Mono.Posix.NETStandard referenced from Microsoft.Azure.Storage.DataMovement","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","Mono.Posix.NETStandard","1.0.0.0","Microsoft.WindowsAzure.Storage.DataMovement.Hybrid_2019_03_01","0","3000","Missing assembly Mono.Posix.NETStandard referenced from Microsoft.WindowsAzure.Storage.DataMovement.Hybrid_2019_03_01","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Threading.Tasks.Extensions","4.2.0.0","Azure.Core","0","3000","Missing assembly System.Threading.Tasks.Extensions referenced from Azure.Core","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Threading.Tasks.Extensions","4.2.0.0","Azure.Storage.Blobs","0","3000","Missing assembly System.Threading.Tasks.Extensions referenced from Azure.Storage.Blobs","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Text.Json","4.0.0.0","Azure.Storage.Blobs","0","3000","Missing assembly System.Text.Json referenced from Azure.Storage.Blobs","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Threading.Tasks.Extensions","4.2.0.0","Azure.Storage.Common","0","3000","Missing assembly System.Threading.Tasks.Extensions referenced from Azure.Storage.Common","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Threading.Tasks.Extensions","4.2.0.0","Azure.Storage.Files.DataLake","0","3000","Missing assembly System.Threading.Tasks.Extensions referenced from Azure.Storage.Files.DataLake","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Text.Json","4.0.0.0","Azure.Storage.Files.DataLake","0","3000","Missing assembly System.Text.Json referenced from Azure.Storage.Files.DataLake","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Threading.Tasks.Extensions","4.2.0.0","Azure.Storage.Files.Shares","0","3000","Missing assembly System.Threading.Tasks.Extensions referenced from Azure.Storage.Files.Shares","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Text.Json","4.0.0.0","Azure.Storage.Files.Shares","0","3000","Missing assembly System.Text.Json referenced from Azure.Storage.Files.Shares","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Threading.Tasks.Extensions","4.2.0.0","Azure.Storage.Queues","0","3000","Missing assembly System.Threading.Tasks.Extensions referenced from Azure.Storage.Queues","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Text.Json","4.0.0.0","Azure.Storage.Queues","0","3000","Missing assembly System.Text.Json referenced from Azure.Storage.Queues","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Threading.Tasks.Extensions","4.2.0.0","Microsoft.Azure.PowerShell.Cmdlets.Storage","0","3000","Missing assembly System.Threading.Tasks.Extensions referenced from Microsoft.Azure.PowerShell.Cmdlets.Storage","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Threading.Tasks.Extensions","4.2.0.0","Microsoft.Bcl.AsyncInterfaces","0","3000","Missing assembly System.Threading.Tasks.Extensions referenced from Microsoft.Bcl.AsyncInterfaces","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Text.Encodings.Web","4.0.4.0","System.Text.Json","0","3000","Missing assembly System.Text.Encodings.Web referenced from System.Text.Json","Ensure that the assembly is included in the Wix file or directory"
"Az.Storage","System.Runtime.CompilerServices.Unsafe","4.0.5.0","System.Text.Json","0","3000","Missing assembly System.Runtime.CompilerServices.Unsafe referenced from System.Text.Json","Ensure that the assembly is included in the Wix file or directory"
