"Module","Cmdlet","Example","Line","RuleName","ProblemId","Severity","Description","Extent","Remediation"
"Az.DataProtection","New-AzDataProtectionBackupConfigurationClientObject","2","1","Invalid_Cmdlet","5000","1","Get-AzStorageAccount is not a valid command name.","Get-AzStorageAccount -ResourceGroupName $resourceGroupName -Name $storageAccountName","Check the spell of Get-AzStorageAccount."
"Az.DataProtection","New-AzDataProtectionBackupConfigurationClientObject","2","2","Invalid_Cmdlet","5000","1","Get-AzStorageContainer is not a valid command name.","Get-AzStorageContainer -Context $storageAccount.Context","Check the spell of Get-AzStorageContainer."
"Az.DataProtection","Start-AzDataProtectionBackupInstanceRestore","9","4","Invalid_Cmdlet","5000","1","Get-AzStorageAccount is not a valid command name.","Get-AzStorageAccount -ResourceGroupName 'teststorageaccountRG' -Name 'teststorageaccount'","Check the spell of Get-AzStorageAccount."
"Az.DataProtection","Start-AzDataProtectionBackupInstanceRestore","9","4","ParameterNameAndValue\Measure-ParameterNameAndValue","5200","1","Exception calling 'FindAll' with '2' argument(s): 'Cannot index into a null array.'","'teststorageaccountRG'","Unexpected Error. Please check [Trouble Shotting for Unexpected Errors in Example Issues](***/blob/main/documentation/Debugging-StaticAnalysis-Errors.md#Troubleshotting-Example-Issues) for more details."
