"Module","Cmdlet","Example","Line","RuleName","ProblemId","Severity","Description","Extent","Remediation"
"Az.NetAppFiles","New-AzNetAppFilesSnapshotPolicy","1","22","Invalid_Cmdlet","5000","1","New-AzNetAppFilesSnapshotPolicy is not a valid command name.","New-AzNetAppFilesSnapshotPolicy -ResourceGroupName 'MyRG' -Location 'westus2' -AccountName 'MyAccount' -Name 'MySnapshotPolicy' -Enabled -HourlySchedule $hourlySchedule -DailySchedule $dailySchedule -WeeklySchedule $weeklySchedule -MonthlySchedule $monthlySchedule","Check the spell of New-AzNetAppFilesSnapshotPolicy."
"Az.NetAppFiles","New-AzNetAppFilesSubvolume","1","1","Invalid_Cmdlet","5000","1","New-AzNetAppFilesSubvolume is not a valid command name.","New-AzNetAppFilesSubvolume -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyAnfVolume' -Name 'MySubvolume' -Location 'westus2'","Check the spell of New-AzNetAppFilesSubvolume."
"Az.NetAppFiles","New-AzNetAppFilesVolume","1","1","Invalid_Cmdlet","5000","1","New-AzNetAppFilesVolume is not a valid command name.","New-AzNetAppFilesVolume -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -Name 'MyAnfVolume' -Location 'westus2' -CreationToken 'MyAnfVolume' -UsageThreshold 1099511627776 -ServiceLevel 'Premium' -SubnetId '/subscriptions/subsId/resourceGroups/MyRG/providers/Microsoft.Network/virtualNetworks/MyVnetName/subnets/MySubNetName'","Check the spell of New-AzNetAppFilesVolume."
"Az.NetAppFiles","New-AzNetAppFilesVolumeGroup","1","1","Invalid_Cmdlet","5000","1","New-AzNetAppFilesVolumeGroup is not a valid command name.","New-AzNetAppFilesVolumeGroup -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -Name 'MyAnfVolumeGroupName' -Location 'westus2'  -GroupDescription 'MyAnfVolumeGroup Description' -ApplicationIdentifier 'SH1' -ProximityPlacementGroup 'MyPPGResourceId' -Vnet 'MyAnfVnet' -SystemRole 'PRIMARY' -NodeMemory 100","Check the spell of New-AzNetAppFilesVolumeGroup."
"Az.NetAppFiles","New-AzNetAppFilesVolumeQuotaRule","1","1","Invalid_Cmdlet","5000","1","New-AzNetAppFilesVolumeQuotaRule is not a valid command name.","New-AzNetAppFilesVolumeQuotaRule -ResourceGroupName 'MyRG' -Location 'westus2' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyAnfVolume' -Name 'MyAnfVolumeQuotaRule' -QuotaType 'DefaultGroupQuota' -QuotaSize 100006","Check the spell of New-AzNetAppFilesVolumeQuotaRule."
"Az.NetAppFiles","Remove-AzNetAppFilesAccount","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesAccount is not a valid command name.","Remove-AzNetAppFilesAccount -ResourceGroupName 'MyRG' -Name 'MyAnfAccount'","Check the spell of Remove-AzNetAppFilesAccount."
"Az.NetAppFiles","Remove-AzNetAppFilesActiveDirectory","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesActiveDirectory is not a valid command name.","Remove-AzNetAppFilesActiveDirectory -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -ActiveDirectoryId 'MyActiveDirectoryId'","Check the spell of Remove-AzNetAppFilesActiveDirectory."
"Az.NetAppFiles","Remove-AzNetAppFilesBackup","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesBackup is not a valid command name.","Remove-AzNetAppFilesBackup -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -PoolName 'MyPool' -VolumeName 'MyVolume' -Name 'MyBackup'","Check the spell of Remove-AzNetAppFilesBackup."
"Az.NetAppFiles","Remove-AzNetAppFilesBackup","2","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesBackup is not a valid command name.","Remove-AzNetAppFilesBackup -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -AccountBackupName 'MyBackup'","Check the spell of Remove-AzNetAppFilesBackup."
"Az.NetAppFiles","Remove-AzNetAppFilesBackupPolicy","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesBackupPolicy is not a valid command name.","Remove-AzNetAppFilesBackupPolicy -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -Name 'MyBackupPolicy'","Check the spell of Remove-AzNetAppFilesBackupPolicy."
"Az.NetAppFiles","Remove-AzNetAppFilesBackupVault","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesBackupVault is not a valid command name.","Remove-AzNetAppFilesBackupVault -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -Name 'MyBackupVaultName'","Check the spell of Remove-AzNetAppFilesBackupVault."
"Az.NetAppFiles","Remove-AzNetAppFilesPool","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesPool is not a valid command name.","Remove-AzNetAppFilesPool -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool'","Check the spell of Remove-AzNetAppFilesPool."
"Az.NetAppFiles","Remove-AzNetAppFilesReplication","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesReplication is not a valid command name.","Remove-AzNetAppFilesReplication -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyDestinationAnfVolume'","Check the spell of Remove-AzNetAppFilesReplication."
"Az.NetAppFiles","Remove-AzNetAppFilesSnapshot","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesSnapshot is not a valid command name.","Remove-AzNetAppFilesSnapshot -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyAnfVolume' -Name 'MyAnfSnapshot'","Check the spell of Remove-AzNetAppFilesSnapshot."
"Az.NetAppFiles","Remove-AzNetAppFilesSnapshotPolicy","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesSnapshotPolicy is not a valid command name.","Remove-AzNetAppFilesSnapshotPolicy -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -Name 'MySnapshotPolicy'","Check the spell of Remove-AzNetAppFilesSnapshotPolicy."
"Az.NetAppFiles","Remove-AzNetAppFilesSubvolume","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesSubvolume is not a valid command name.","Remove-AzNetAppFilesSubvolume -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyAnfVolume' -Name 'MyAnfSubvolume'","Check the spell of Remove-AzNetAppFilesSubvolume."
"Az.NetAppFiles","Remove-AzNetAppFilesVolume","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesVolume is not a valid command name.","Remove-AzNetAppFilesVolume -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -Name 'MyAnfVolume'","Check the spell of Remove-AzNetAppFilesVolume."
"Az.NetAppFiles","Remove-AzNetAppFilesVolumeGroup","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesVolumeGroup is not a valid command name.","Remove-AzNetAppFilesVolumeGroup -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -Name 'MyAnfVolumeGroup'","Check the spell of Remove-AzNetAppFilesVolumeGroup."
"Az.NetAppFiles","Remove-AzNetAppFilesVolumeQuotaRule","1","1","Invalid_Cmdlet","5000","1","Remove-AzNetAppFilesVolumeQuotaRule is not a valid command name.","Remove-AzNetAppFilesVolumeQuotaRule -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -VolumeName 'MyAnfVolume' -Name 'MyVolumeQuotaRuleName'","Check the spell of Remove-AzNetAppFilesVolumeQuotaRule."
"Az.NetAppFiles","Reset-AzNetAppFilesVolumeCifsPassword","1","1","Invalid_Cmdlet","5000","1","Reset-AzNetAppFilesVolumeCifsPassword is not a valid command name.","Reset-AzNetAppFilesVolumeCifsPassword -ResourceGroupName 'MyRG' -AccountName 'MyAccount' -PoolName 'MyPool' -VolumeName 'MyVolume'","Check the spell of Reset-AzNetAppFilesVolumeCifsPassword."
"Az.NetAppFiles","Restore-AzNetAppFilesBackupFile","1","3","Invalid_Cmdlet","5000","1","Restore-AzNetAppFilesBackupFile is not a valid command name.","Restore-AzNetAppFilesBackupFile -ResourceGroupName 'MyRG' -AccountName 'MyAnfAccount' -PoolName 'MyAnfPool' -VolumeName 'MyVolume' -BackupName 'MyBackup' -FileList $fileList -DestinationVolumeId 'destinationVolumeResourceId'","Check the spell of Restore-AzNetAppFilesBackupFile."
